id,title,doi,authors,year,journal,abstract,url,source
A167,Sociodemographic correlates of late HIV diagnosis among men who have sex with men (MSM) in Ghana.,10.1080/09540121.2024.2325071,Aidoo-Frimpong G; Tong G; Akyirem S; Abwoye DN; Nwanaji-Enwerem U; Lopez DJ; Wilton L; Nelson LE,2024.0,AIDS care,"Timely HIV diagnosis and medical engagement are crucial for effective viral load suppression and treatment as prevention. However, significant delays persist, particularly in Africa, including Ghana. This study focused on Ghanaian men whose route of exposure to HIV was through same-gender sexual contact (MSM), a group disproportionately impacted by HIV. Using structured surveys, we investigated the sociodemographic factors associated with late HIV diagnosis, a topic with limited existing research. Results indicate that older age groups were associated with an increased risk of late diagnosis compared to the 18-24 age group. Among the demographic variables studied, only age showed a consistent association with late HIV diagnosis. This study underscores the importance of targeted interventions to address HIV diagnosis disparities among MSM in Ghana, particularly for older age groups. The findings emphasize the need for tailored interventions addressing age-related disparities in timely diagnosis and engagement with medical services among this population. Such interventions can play a crucial role in reducing the burden of HIV within this community and fostering improved public health outcomes.",,pubmed
A168,"Predictors, mortality, and health outcomes of intensive phase non-adherence to a regimen in patients with drug-susceptible tuberculosis: a nationwide linkage database.",S0033-3506(24)00041-6,Lee H; Bea S; Kim JH; Jeong HE; Jang SH; Son H; Shin JY,2024.0,Public health,"OBJECTIVES: The clinical importance of adhering to the regimen in tuberculosis patients has been widely investigated, but most studies were conducted in controlled settings and in limited populations. We aimed to measure the level of real-world adherence during intensive phase and investigate the predictors and the risk of mortality and health outcomes of intensive phase non-adherence in tuberculosis patients. STUDY DESIGN: We conducted a nationwide cohort study by linking the Korean National Tuberculosis Surveillance System and the National Health Information Database. METHODS: We included all incident drug-susceptible tuberculosis patients who initiated the regimens recommended by the World Health Organization from 2013 to 2018. Adherence was measured using the proportion of days covered (poor [<50%], moderate [50%-79%], and high [>/=80%]). We used logistic regression model to assess predictors and the Cox proportional hazard model to evaluate the risk of mortality and health outcomes with intensive phase non-adherence. RESULTS: Of 46,818 patients, there were 8% and 11% with poor and moderate adherent groups, respectively. Age >/=45 years, insulin use, and history of renal failure were predictors of non-adherence. Compared with high adherent group, poor and moderate adherent groups were associated with a substantial risk of mortality (poor: hazard ratio, 2.14 [95% confidence interval, 1.95-2.34]; moderate: 1.76 [1.62-1.92]). Similar trends were observed for health outcomes. Stratified analyses showed a higher risk of mortality in patients with medical aid, low income, and history of renal failure, systematic corticosteroids, and immunomodulators. CONCLUSIONS: Non-adherence during intensive phase increased mortality risk by twofold, underscoring targeted intervention for high-risk population, including advanced diabetes, and immunocompromised patients.",,pubmed
A169,Local sources of vulnerability to climate change and armed conflicts in East Africa.,S0301-4797(24)00389-X,Cappelli F; Costantini V; D'Angeli M; Marin G; Paglialunga E,2024.0,Journal of environmental management,"While socioeconomic and institutional factors are crucial in explaining the onset and evolution of conflicts, recent research suggests that climate change is a further indirect driver acting as a ""threat multiplier"". This paper focuses on the concept of vulnerability to both climate change and conflicts to explain why some locations are more likely to engage in armed conflicts than others in the presence of a similar level of exposure to climatic changes. In particular, by means of a Spatial Autoregressive Model, we identify a set of local-specific vulnerability factors that increase conflict risk in East Africa. We employ a georeferenced database with a resolution of 25 x 25 km, covering the period 1997-2016. Results from our analysis provide some interesting insights: first, climate change does not increase conflict risk per se, but only in the presence of pre-existing vulnerabilities. Second, resource access and socioeconomic factors play a key role in driving the climate-conflict nexus especially in urban areas. In particular, vulnerability is increased whenever power is not distributed in such a way as to ensure an equitable distribution of resources. Overall, our findings suggest that, by addressing vulnerability factors that prevent adaptive capacity and an equitable distribution of resources, societies may benefit in terms of both diminished conflict risk and alleviation of climate change impacts.",,pubmed
A170,"Toward a Contextually Sensitive Understanding of Polyvictimization: A Latent Class Analysis of Violence, Risks, and Protections Among South African Adolescents From Highly Deprived Settings.",10.1177/08862605241233273,Franchino-Olsen H; Orkin M; Meinck F,2024.0,Journal of interpersonal violence,"South African adolescents experience a high prevalence of violence victimization alongside the health and economic burdens of HIV/AIDS and poverty. Polyvictimization is a useful theory and framework that allows for a nuanced understanding of lived adolescent experience patterns. Polyvictimization examinations are further enriched by person-centered analytical approaches. This study used latent class analysis to differentiate a sample of South African adolescents from highly deprived communities by their polyvictimization profiles and contextual violence risk and protective factors. Adolescents were sampled twice (2010/2011; 2011/2012), and data reflected their lifetime (sexual abuse) or recent (all other forms of assessed abuse/violence) violence victimizations, as well as individual, household, and community characteristics. Model fit indices supported a seven-class model with adolescents in high, moderate, and low polyvictimization classes. Adolescents in the high polyvictimization classes experienced a heavy burden of poverty and multiple forms of violence across contexts and were distinguished by HIV/AIDS and disability. Adolescents in the low polyvictimization class experienced relatively little violence, despite living in violent communities, and low household and individual burdens of HIV/AIDS and disability. Findings emphasize the importance of considering adolescent violence through a contextually sensitive polyvictimization lens to understand the complex web of violence that adolescents experience. This work supports previous research in low-resource South African settings highlighting the interconnected nature of violence, poverty, disability, and HIV/AIDS. Future research should explore these complex violence patterns and their effects, while program and policy actions must target and prevent adolescent violence especially for those impacted by poverty, disability, and HIV/AIDS.",,pubmed
A171,"Investigating the Associations between Drought, Poverty, High-Risk Sexual Behaviours, and HIV Incidence in Sub-Saharan Africa: A Cross-Sectional Study.",10.1007/s10461-024-04280-8,Trickey A; Johnson LF; Bonifacio R; Kiragga A; Howard G; Biraro S; Wagener T; Low A; Vickerman P,2024.0,AIDS and behavior,"Climate change is increasing the likelihood of drought in sub-Saharan Africa, where HIV prevalence is high. Drought could increase HIV transmission through various mediating mechanisms; we investigated these associations. We used data on people aged 15-59 from Population-Based HIV Impact Assessment surveys from 2016 in Eswatini, Lesotho, Tanzania, Uganda, and Zambia. Survey data were geospatially linked to precipitation data for 2014-2016, with local droughts defined as cumulative rainfall between 2014 and 2016 being in < 15th percentile of all 2-year periods over 1981-2016. Using multivariable logistic regression, stratified by sex and rural/urban residence, we examined associations between (a) drought and poverty, (b) wealth quintiles and sexual behaviours (transactional, high-risk, and intergenerational sex), (c) sexual behaviours and recently acquiring HIV, and (d) drought and recent HIV. Among 102,081 people, 31.5% resided in areas affected by drought during 2014-2016. Experiencing drought was positively associated with poverty for women and men in rural, but not urban, areas. For each group, increasing wealth was negatively associated with transactional sex. For rural women, intergenerational sex was positively associated with wealth. Women reporting each sexual behaviour had higher odds of recent HIV, with strong associations seen for high-risk sex, and, for urban women, intergenerational sex, with weaker associations among men. Women in rural areas who had been exposed to drought had higher odds of having recently acquired HIV (2.10 [95%CI: 1.17-3.77]), but not women in urban areas, or men. Droughts could potentially increase HIV transmission through increasing poverty and then sexual risk behaviours, particularly among women in rural areas.",,pubmed
A172,"COVID-19, pandemic lockdowns and intimate partner violence among HIV-positive women in Ghana.",10.1080/09540121.2024.2312876,Tenkorang EY; Pokua Adjei A; Agyei-Yeboah V; Owusu AY,2024.0,AIDS care,"This study examines the prevalence and risk factors of physical, sexual, psychological, and economic violence during lockdowns associated with COVID-19 among HIV-positive women in Ghana. Data were collected in August 2021 from a cross-section of 538 HIV-positive women aged 18 years and older in the Lower Manya Krobo District in the Eastern region of Ghana. Logit models were used to explore relationships between women's self-reported experiences of physical, sexual, psychological /emotional, and economic violence under lockdown and key socio-economic and demographic characteristics. The findings indicate moderate to high prevalence of intimate partner violence (IPV) under lockdown in our sample: physical violence (30.1%), sexual violence (28.6%), emotional/psychological violence (53.7%), and economic violence (54.2%). IPV was higher on all four measures for educated women, poorer women, employed women, cohabiting and married women, and HIV seroconcordant couples.",,pubmed
A173,Examining the Intersection of Ethnoracial Disparities and HIV Status in Substance Use Risks among U.S. Adults.,10.1007/s10461-024-04277-3,Hai AH; Batey DS; Lee CS; Li S; Schnall R,2024.0,AIDS and behavior,"Black/African American and Hispanic Americans experience significant HIV-related disparities. Substance use might be a contributing factor to these disparities, but there is limited research on this topic. This study investigated various substance use risks by HIV status and race/ethnicity (Black, Hispanic, White) among U.S. adults. We used data from the 2005-2019 National Survey on Drug Use and Health (N = 541,921). In each racial/ethnic group, the prevalence rates of past-year and past-month tobacco, alcohol, cannabis, and cocaine use, and past-year alcohol and illicit drug use disorders were estimated by HIV status. A series of logistic regressions with the interaction term of HIV x race/ethnicity were performed to examine race/ethnicity's moderating effect on the HIV-substance use associations, while controlling for sociodemographic factors and survey year. Moderation analysis showed that HIV status's association with the risks of past-year tobacco use (AOR = 1.67, 95% CI = 1.01-2.75), past-year cocaine use (AOR = 3.80, 95% CI = 1.91-7.57), past-month cocaine use (AOR = 5.34, 95% CI = 2.10-13.60), and past-year alcohol use disorder (AOR = 2.52, 95% CI = 1.29-4.92) differed significantly between Black and White adults. Between the Hispanic and White groups, HIV status's association with the risks of past-year alcohol use (AOR = 2.00, 95% CI = 1.09-3.69), past-year cocaine use (AOR = 2.40, 95% CI = 1.06-5.39), and past-month cocaine use (AOR = 3.69, 95% CI = 1.36-10.02) also differed significantly. It is well-established that individuals with HIV face an elevated risk of substance use. Our study added valuable insights by highlighting that this phenomenon is particularly more significant among Black and Hispanic adults for several substances when compared to White adults. Implications for practice are discussed.",,pubmed
A174,"Malaria infection and associated household level risks in an urban and rural areas of West Bengal, India.",10.4103/JVBD.JVBD_162_23,Bag NI; Paul B; Bhattacharyya M; Sarkar S,2024.0,Journal of vector borne diseases,"BACKGROUND OBJECTIVES: Malaria is one of the critical public health problems globally as well as in India. Recent times have seen an increase in the importance of the possible effects of environmental and demographic factors on the local transmission of malaria. We conducted a community-level study between urban and rural areas to find out the factors associated with malaria infection. METHODS: A community-based observational cross-sectional study was conducted between October 2020 and September 2022 among 330 households from urban areas of Chetla, Kolkata and rural areas of Singur district of West Bengal state of India. Households were selected by two stage random sampling method. Study was done by face-to-face interview, review of medical records and observation of the households. SPSS software was used for data analysis. Multivariable logistic regression (hierarchical model) was done and p-value equal to or less than 0.05 was taken as significant. RESULTS: The prevalence of malaria infection among participants and household level risks of malaria infection were found to be 6.1%, 1.8% and 18.8%, 6.7%, respectively in the urban and rural areas. Significant predictors of malaria infection were households with >/=5 family members [AOR=2.91CI (1.19-7.15)], households not using any mosquito protective measures [AOR=3.71CI (1.04-13.13)], presence of mosquito breeding places [AOR=4.93CI (1.53-15.93)], absence of effective window screen [AOR=3.19CI (1.16-8.71)], absence of separate kitchen [AOR=2.38CI (1.06-5.34)], and inadequate lighting condition in the house [AOR=4.35CI (1.78-10.64)]. INTERPRETATION CONCLUSION: This study provides important insights into the epidemiology of malaria in a high and low-transmission setting in West Bengal, India. Intensified efforts strengthening community mobilization for preventing breeding places for mosquito. Policy should strengthen investment in housing programs that may complement reduction of malaria transmission. Disease reduction effects of Government and local non-governmental organizations should be directed towards those areas in order to decrease disease load.",,pubmed
A175,The environmental and socioeconomic effects of tuberculosis patients in the southwest of China: a population-based study.,S0033-3506(23)00420-1,Xia L; Wei W; Zhou ZL; Zhang WQ; Luan RS,2024.0,Public health,"OBJECTIVE: The objective of this study was to assess the incidence of tuberculosis (TB) and find the risk factors of TB patients with a high burden of TB in socioeconomic level, the high level of TB incidence and the great changes of economic and social factors, explore the possible factors, construct scientific and robust prediction model, and analyse whether the task of stopping TB can be accomplished by the expected global deadline. STUDY DESIGN: This was an ecological study. METHODS: Descriptive analysis, spatial and space-time scan, correlation analysis, and regression analysis were carried out, based on cases of TB in Sichuan Province and ecological data from 2006 to 2017, to explore the characters of TB and ecological factors, using the transfer function-noise model to forecast the trend of TB until 2035. RESULTS: Factors affecting the incidence of TB, increasing per capita green area, reporting status of TB among Tibetans and Yi minorities, comprehensive treatment management, total cost of TB per capita for urban residents, proportion of males with high school education, 20 to 20 h of 24-h accumulated precipitation, reducing HIV at the same time as AIDS deaths, the increase in the proportion of males in junior high school education, and the increase in the number of registered TB cases can reduce the incidence of TB. CONCLUSIONS: There was concentration mainly on enhanced control of the environment and society measures, helpful in guiding government planning to control TB. Reinforcement is required to reduce the TB of population aged 15-24 and aged 25-64 in socioeconomic level by 2035.",,pubmed
A176,Complete sources of cluster variation on the risk of under-five malaria in Uganda: a multilevel-weighted mixed effects logistic regression model approach.,10.1186/s12936-023-04756-3,Natuhamya C; Makumbi F; Mukose AD; Ssenkusu JM,2023.0,Malaria journal,"BACKGROUND: Malaria, a major cause of mortality worldwide is linked to a web of determinants ranging from individual to contextual factors. This calls for examining the magnitude of the effect of clustering within malaria data. Regrettably, researchers usually ignore cluster variation on the risk of malaria and also apply final survey weights in multilevel modelling instead of multilevel weights. This most likely produces biased estimates, misleads inference and lowers study power. The objective of this study was to determine the complete sources of cluster variation on the risk of under-five malaria and risk factors associated with under-five malaria in Uganda. METHODS: This study applied a multilevel-weighted mixed effects logistic regression model to account for both individual and contextual factors. RESULTS: Every additional year in a child's age was positively associated with malaria infection (AOR = 1.42; 95% CI 1.33-1.52). Children whose mothers had at least a secondary school education were less likely to suffer from malaria infection (AOR = 0.53; 95% CI 0.30-0.95) as well as those who dwelled in households in the two highest wealth quintiles (AOR = 0.42; 95% CI 0.27-0.64). An increase in altitude by 1 m was negatively associated with malaria infection (AOR = 0.98; 95% CI 0.97-0.99). About 77% of the total variation in the positive testing for malaria was attributable to differences between enumeration areas (ICC = 0.77; p < 0.001). CONCLUSIONS: Interventions towards reducing the burden of under-five malaria should be prioritized to improve individual-level characteristics compared to household-level features. Enumeration area (EA) specific interventions may be more effective compared to household specific interventions.",,pubmed
A177,"The geographical distribution and socioeconomic risk factors of COVID-19, tuberculosis and leprosy in Fortaleza, Brazil.",10.1186/s12879-023-08627-9,Taal AT; Barreto JG; Santos de Sousa GD; da Rocha AM; Lima Ferreira NN; Menezes da Silva JA; Hinders DC; van Brakel WH; Richardus JH; Blok DJ,2023.0,BMC infectious diseases,"BACKGROUND: Fortaleza (Brazil) is high endemic for coronavirus disease 2019 (COVID-19), tuberculosis (TB) and leprosy. These three diseases share respiratory droplets through coughing or sneezing as the main mode of transmission but differ in incubation time, with COVID-19 having a short and leprosy a long incubation time. Consequently, contacts of a patient are at higher risk of infection and developing these diseases. There might be scope for combined preventive measures, but a better understanding of the geographical distribution and relevant socioeconomic risk factors of the three diseases is needed first. This study aims to describe the geographic distribution of COVID-19, TB and leprosy incidence and to identify common socioeconomic risk factors. METHODS: The total number of new cases of COVID-19, TB and leprosy, as well as socioeconomic and demographic variables, were retrieved from official registers. The geographical distribution of COVID-19, TB and leprosy rates per neighbourhood was visualised in Quantum GIS, and spatial autocorrelation was measured with Moran's I in GeoDa. A spatial regression model was applied to understand the association between COVID-19, TB, leprosy rates, and socioeconomic factors. RESULTS: COVID-19 and TB showed a more homogenous distribution, whereas leprosy is located more in the south and west of Fortaleza. One neighbourhood (Pedras) in the southeast was identified as high endemic for all three diseases. Literacy was a socioeconomic risk factor for all three diseases: a high literacy rate increases the risk of COVID-19, and a low literacy rate (i.e., illiteracy) increases the risk of TB and leprosy. In addition, high income was associated with COVID-19, while low income with TB. CONCLUSIONS: Despite the similar mode of transmission, COVID-19, TB and leprosy show a different distribution of cases in Fortaleza. In addition, associated risk factors are related to wealth in COVID-19 and to poverty in TB and leprosy. These findings may support policymakers in developing (partially combined) primary and secondary prevention considering the efficient use of resources.",,pubmed
A178,Impact of a livelihood intervention on gender roles and relationship power among people with HIV.,10.1097/QAD.0000000000003742,Sheira LA; Wekesa P; Cohen CR; Weke E; Frongillo EA; Mocello AR; Dworkin SL; Burger RL; Weiser SD; Bukusi EA,2024.0,"AIDS (London, England)","OBJECTIVE: To evaluate the impact of an agricultural livelihood intervention on gender role conflict and sexual relationship power among people with HIV (PWH) in western Kenya. DESIGN: Study participants were enrolled in Shamba Maisha , a cluster randomized controlled trial of an agricultural intervention conducted among PWH across 16 health facilities during 2016-2020. Intervention participants received a water pump, seeds, and agricultural and financial training; control participants received standard of HIV care. METHODS: We assessed men's views on masculinity and gender roles via the validated gender role conflict score (GRCS; range 18-78, higher = greater gender role conflict). We measured gender power imbalances among women via the validated Sexual Relationship Power Scale (SRPS), which combines subscales of relationship control and decision-making dominance (range 1-4, higher = female holds more power). We compared changes over the study period by arm using longitudinal multilevel difference-in-difference linear regression models accounting for clustering of facilities using the intention-to-treat cohort. RESULTS: We enrolled 720 participants (366 intervention, 354 control); 2-year retention was 94%. Median age was 40 and approximately 55% of participants were female. Among men, after 24-months the decrease in GRCS scores was 4.3 points greater in the intervention than the control arm ( P  < 0.001). Among women, the intervention resulted in 0.25 points greater increase in the SRPS compared to the control arm ( P  < 0.001). CONCLUSIONS: Shamba Maisha resulted in less gender role conflict in men and greater sexual relationship power for women. Agricultural livelihood interventions may be a powerful tool to improve gender power imbalances, which may subsequently mitigate poverty and food insecurity.",,pubmed
A179,"Exploring the Association Between Indicators of Socioeconomic Instability, Survival Sex, and Methamphetamine Use Among Young Adult Black Gay, Bisexual, and Other Men Who Have Sex With Men: A Cross-Sectional Study.",10.1097/JNC.0000000000000428,Curtis MG; Reed M; Newman A; Doraivelu K; Patel SA; Crawford ND; Holland DP; Hussen SA,2023.0,The Journal of the Association of Nurses in AIDS Care : JANAC,"Methamphetamine (Meth) use is a contributor to poor health outcomes among young Black American gay, bisexual, and other men who have sex with men (YB-GBMSM). Emerging research indicates that socioeconomic instability may be a salient antecedent of meth use as men may be encouraged to engage in health-eroding activities, such as survival sex, to care for themselves, and then cope with instability-related stress via use of substances. We examined the degree to which indicators of socioeconomic instability, including homelessness and food insecurity, would directly, and indirectly, predict increases in meth use, via survival sex engagement. Hypotheses were tested using mediated path analysis with data from 100 YB-GBMSM in Atlanta, Georgia. Preliminary analysis results demonstrated positive associations between engaging in survival sex, food insecurity, homelessness, and living with HIV. Findings demonstrated that homelessness and food insecurity were directly associated with increased survival sex engagement but were not directly associated with meth use. Homelessness and food insecurity were indirectly associated with increased severity of meth use, via increased engagement in survival sex. Socioeconomic instability and survival sex engagement may be important intervention targets for future meth use intervention/prevention programming. Integrating programmatic components that address homelessness and food insecurity may decrease YB-GBMSM's need to rely on survival sex to meet their needs and decrease their likelihood of using meth as a result.",,pubmed
A180,Implications of climate change on acute kidney injury.,10.1097/MNH.0000000000000926,Freidin N; Hayes E; Struthers SA,2024.0,Current opinion in nephrology and hypertension,"PURPOSE OF REVIEW: Climate change is an active and growing threat to human health. This review examines the evidence linking climate change to kidney diseases, with a focus on acute kidney injury (AKI). RECENT FINDINGS: A growing body of evidence documents the adverse impact of various environmental and occupational exposures on kidney health. Extreme heat exposure increases the risk for AKI in vulnerable populations, particularly outdoor workers. These effects are being seen in both developed and developing nations, impacting equatorial as well as more northern climates. Climate change is also increasing the risk of water-borne and vector-borne infections, which are important causes of AKI in tropical regions. Due to overlapping environmental and social risk factors, populations in low-income and middle-income countries are likely to be disproportionately affected by climate-related health impacts, including heightened risk for kidney diseases. SUMMARY: Climate change will adversely impact global kidney health over the course of the century through effects on temperature and risk of endemic infections. Alongside efforts to aggressively reduce carbon emissions, additional research is needed to guide public and environmental health policies aimed at mitigating the impact of climate change on human health.",,pubmed
A181,Energizing environmental sustainability in Sub-Saharan Africa: the role of governance quality in mitigating the environmental impact of energy poverty.,10.1007/s11356-023-29541-2,Dimnwobi SK; Okere KI; Onuoha FC; Uzoechina BI; Ekesiobi C; Nwokoye ES,2023.0,Environmental science and pollution research international,"The Sub-Saharan Africa region is disproportionately affected by energy poverty and is considered highly vulnerable to the impacts of climate change. Therefore, addressing the pressing challenges of energy poverty and promoting environmental sustainability in this region is of paramount importance. Consequently, this study appraises the relationship between energy poverty and ecological preservation in Sub-Saharan Africa from 2005 to 2020, using government effectiveness and regulatory quality as moderating variables. A combination of energy poverty indicators and an index of energy poverty computed via the principal component analysis method were applied to identify the link between energy poverty and ecological sustainability. The instrumental variable generalized method of moment technique was applied to address the likelihood of endogeneity issues, and the Driscoll-Kraay approach was employed to check the consistency of the instrumental variable generalized method of moment method. Key findings indicate that energy poverty expands the ecological footprint in Sub-Saharan Africa, leading to ecological deterioration, while the interaction with government effectiveness and regulatory quality further deteriorates the environment. Subsequently, the study provides several recommendations to mitigate the influence of energy poverty on the environment.",,pubmed
A182,Epidemiological characteristics and risk factors of syphilis among blood donors in Huzhou.,S1246-7820(23)00099-X,Jingxian F; Yun W; Le W; Ke L; Yizhu C; Quan S; Feng W,2023.0,Transfusion clinique et biologique : journal de la Societe francaise de transfusion sanguine,"OBJECTIVE: To investigate the epidemiological characteristics and risk factors for syphilis in Huzhou City, and to provide data to support the design of more effective health counselling and screening measures for blood donors. METHODS: A retrospective study was conducted to analyse the demographic characteristics and seropositivity of syphilis among blood donors from 2019 to 2021. The differences in the serological status of syphilis among different populations under different demographic factors were compared, and conditional logistic regression analysis was used to identify the risk factors for syphilis. RESULTS: The seropositivity rate of syphilis among blood donors in Huzhou City was 133/100,000, which decreased year by year. There were significant differences in the syphilis seropositivity rate among different groups in terms of age, education level, occupation, household registration, marital status and blood donation history (P < 0.05). The multivariate logistic regression model showed that all six factors, including age, education level, occupation, household registration, marital status and blood donation history, had significant effects on syphilis infection (P < 0.01), with OR values and 95% CIs of 2. 387 (1.381-4.127), 3.607 (1.609-8.086), 2.784 (1.657-4.679), 5.074 (1.865-13.804), 11.177 (3.481-35.888), and 11.244 (3.940-32.091), respectively. CONCLUSION: There is room for improvement in pre-donation health counselling and screening of high-risk populations. Timely monitoring and updating of demographic data for specific high-risk populations is essential.",,pubmed
A183,Incidence and risk factors of tuberculosis among 420 854 household contacts of patients with tuberculosis in the 100 Million Brazilian Cohort (2004-18): a cohort study.,S1473-3099(23)00371-7,Pinto PFPS; Teixeira CSS; Ichihara MY; Rasella D; Nery JS; Sena SOL; Brickley EB; Barreto ML; Sanchez MN; Pescarini JM,2024.0,The Lancet. Infectious diseases,"BACKGROUND: Although household contacts of patients with tuberculosis are known to be particularly vulnerable to tuberculosis, the published evidence focused on this group at high risk within the low-income and middle-income country context remains sparse. Using nationwide data from Brazil, we aimed to estimate the incidence and investigate the socioeconomic and clinical determinants of tuberculosis in a cohort of contacts of tuberculosis patients. METHODS: In this cohort study, we linked individual socioeconomic and demographic data from the 100 Million Brazilian Cohort to mortality data and tuberculosis registries, identified contacts of tuberculosis index patients diagnosed from Jan 1, 2004 to Dec 31, 2018, and followed up the contacts until the contact's subsequent tuberculosis diagnosis, the contact's death, or Dec 31, 2018. We investigated factors associated with active tuberculosis using multilevel Poisson regressions, allowing for municipality-level and household-level random effects. FINDINGS: We studied 420 854 household contacts of 137 131 tuberculosis index patients. During the 15 years of follow-up (median 4.4 years [IQR 1.9-7.6]), we detected 8953 contacts with tuberculosis. The tuberculosis incidence among contacts was 427.8 per 100 000 person-years at risk (95% CI 419.1-436.8), 16-times higher than the incidence in the general population (26.2 [26.1-26.3]) and the risk was prolonged. Tuberculosis incidence was associated with the index patient being preschool aged (<5 years; adjusted risk ratio 4.15 [95% CI 3.26-5.28]) or having pulmonary tuberculosis (2.84 [2.55-3.17]). INTERPRETATION: The high and sustained risk of tuberculosis among contacts reinforces the need to systematically expand and strengthen contact tracing and preventive treatment policies in Brazil in order to achieve national and international targets for tuberculosis elimination. FUNDING: Wellcome Trust and Brazilian Ministry of Health.",,pubmed
A184,"Systematic review with meta-analysis: Prevalence, risk factors, and challenges for urinary schistosomiasis in children (USC).",10.1371/journal.pone.0285533,Masdor NA; Kandayah T; Amsah N; Othman R; Hassan MR; Rahim SSSA; Jeffree MS; Awang Lukman K; Hidrus A,2023.0,PloS one,"BACKGROUND: Schistosomiasis is a parasitic infection that causes significant public health problems in tropical countries. Schistosoma haematobium species are blamable for causing urinary schistosomiasis. The infected person, specifically children, may be carrying the disease. This systematic review aimed to identify the current knowledge of urinary Schistosmiasis in children or USC on its epidemiology, risk factors, and challenges to spread the understanding of controlling the disease and reducing the complications. METHOD: In November 2021, a systematic computer-aided literature review was conducted using PubMed, SCOPUS and Web of Science, following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) criteria. The results were updated in February 2022. We only used papers that have at least the abstract available in English. Relevant articles were screened, duplicates were deleted, eligibility criteria were applied, and studies that met the criteria were reviewed. The keywords Human Schistosoma infections, prevalence, risk factors and challenges were included. The protocol for the review was registered with PROSPERO (registration number CRD42022311609). Pooled prevalence rates were calculated using the programme R version 4.2.1. Heterogeneity was assessed using the I2 statistic and p-value. A narrative approach was used to describe risk factors and challenges. Studies were selected and finalised based on the review question to prioritise. The quality of the included studies was assessed using the Mixed-Method Appraisal Tool (MMAT). RESULTS: A total of 248 publications met the requirements for inclusion. Fifteen articles were included in this review, with the result showing high heterogeneity. The pooled prevalence of urinary schistosomiasis in children is 4% (95% confidence interval (CI)). Age, poor socioeconomic status, education, exposure to river water, and poor sanitation are the risk factors identified in this review. Challenges are faced due to limitations of clean water, lack of water resources, and poor hygiene. CONCLUSION: Modifiable risk factors such as poor knowledge and practices must be addressed immediately. Healthcare providers and schools could accomplish engaging in practical promotional activities. Communicating the intended messages to raise community awareness of urinary schistosomiasis is critical.",,pubmed
A185,Why Are We Still a Worm World in the 2020s? An Overview of Risk Factors and Endemicity for Soil-Transmitted Helminthiasis.,10.1007/s11686-023-00701-1,Neto AFR; Di Christine Oliveira YL; de Oliveira LM; La Corte R; Jain S; de Lyra Junior DP; Fujiwara RT; Dolabella SS,2023.0,Acta parasitologica,"PURPOSE: Soil-transmitted helminthiasis (STH) is one of the most common chronic infections in developing countries associated with poor socioeconomic and sanitary conditions. The main objective of this overview was to evaluate the influence of environmental factors, risk factors related to the host, and control strategies on the prevalence of STH in different regions of the world. METHODS: LILACS, PubMed, Web of Knowledge, Embase, the Cochrane Library, and Clinical Trials (gray literature) databases were used to obtain the systematic reviews published until December 2020. The methodological quality of systematic reviews was assessed using the standard criteria recommended by AMSTAR. RESULTS: The initial results of the bibliographic search identified 1448 articles, of which 66 studies were read in full and 16 met the inclusion criteria. All the reviews included in this overview associated variations in the global prevalence of STH with at least one of the factors related to the environment, host, and/or control strategies. Climate, temperature, soil moisture, precipitation, mass drug administration, lack of access to water, sanitation and hygiene (WASH), and non-use of footwear were considered the main factors associated with the prevalence of STH. Socioeconomic factors, low educational level, and wearing shoes were universal factors related to prevalence, regardless of the location studied. CONCLUSION: The combination of environmental factors, with factors associated with hosts that predispose infection and reinfection of helminths, as well as the adoption of control strategies based on the treatment of target populations instead of the entire population, influenced the prevalence of STH in all the continents evaluated.",,pubmed
A186,HIV-associated lung disease.,10.1038/s41572-023-00450-5,Konstantinidis I; Crothers K; Kunisaki KM; Drummond MB; Benfield T; Zar HJ; Huang L; Morris A,2023.0,Nature reviews. Disease primers,"Lung disease encompasses acute, infectious processes and chronic, non-infectious processes such as chronic obstructive pulmonary disease, asthma and lung cancer. People living with HIV are at increased risk of both acute and chronic lung diseases. Although the use of effective antiretroviral therapy has diminished the burden of infectious lung disease, people living with HIV experience growing morbidity and mortality from chronic lung diseases. A key risk factor for HIV-associated lung disease is cigarette smoking, which is more prevalent in people living with HIV than in uninfected people. Other risk factors include older age, history of bacterial pneumonia, Pneumocystis pneumonia, pulmonary tuberculosis and immunosuppression. Mechanistic investigations support roles for aberrant innate and adaptive immunity, local and systemic inflammation, oxidative stress, altered lung and gut microbiota, and environmental exposures such as biomass fuel burning in the development of HIV-associated lung disease. Assessment, prevention and treatment strategies are largely extrapolated from data from HIV-uninfected people. Smoking cessation is essential. Data on the long-term consequences of HIV-associated lung disease are limited. Efforts to continue quantifying the effects of HIV infection on the lung, especially in low-income and middle-income countries, are essential to advance our knowledge and optimize respiratory care in people living with HIV.",,pubmed
