title,authors,journal,year,doi,abstract,pmid
Socioeconomic and environmental factors associated with dengue fever incidence in Guatemala: Rising temperatures increase dengue risk.,Salim KU; Alvarez FS; Chan-Golston AM; Naughton CC; Cisneros R; Joyce A,PloS one,2024,10.1371/journal.pone.0308271,"Dengue fever is a mosquito-borne illness that infects 390 million people annually. Dengue outbreaks in Guatemala have been occurring more often and at increased rates since the first dengue outbreak in Guatemala in the 1970s. This study will examine environmental and socioeconomic factors associated with dengue in Guatemala at the municipality (county) level. Socioeconomic factors included population density, Mayan population, economic activity, and attending school. Environmental factors included average minimum annual temperature and annual precipitation. The relationship between environmental and socioeconomic variables and dengue fever incidence was initially evaluated through univariate zero-inflated negative binomial models, and then again through three zero-inflated multivariate negative binomial regression models. For all three models, elevation was considered a predictor of zero-inflation. In the combined model, there was a positive relationship between minimum temperature, economic activity and dengue fever incidence, and a negative relationship between population density, Mayan population and dengue fever. Predicted rates of dengue fever incidence and adjusted confidence intervals were calculated after increasing minimum yearly temperature by 1 degrees C and 2 degrees C. The three municipalities with the highest minimum yearly temperature (El Estor, Iztapa, and Panzos) and the municipality of Guatemala, all had an increase in the magnitude of the risk of dengue fever incidence following 1 degrees C and 2 degrees C increase in temperature. This research suggests that these socioeconomic and environmental factors are associated with risk of dengue in Guatemala. The predicted rates of dengue fever also highlight the potential effect that climate change in the form of increasing temperature can have on dengue in Guatemala.",39088578
"Fuzzy and spatial analysis of cutaneous leishmaniasis in Para State, Brazilian Amazon: an ecological and exploratory study.",Costa SB; Miranda CDS; De Souza BC; Guimaraes HMMES; Faria CM; Da S Campos PS; Koury TM; Da Paixao JGM; Leal AL; Carrera MFP; De Brito SR; Goncalves NV,Journal of infection in developing countries,2024,10.3855/jidc.18639,"INTRODUCTION: This study sought to analyze the relationships between cutaneous leishmaniasis and its epidemiological, environmental and socioeconomic conditions, in the 22 microregions of Para state, Brazil, for the period from 2017 to 2022. METHODOLOGY: In this ecological and exploratory study, the microregions were used as spatial units because they are formed by contiguous municipalities with similar characteristics. The epidemiological, environmental, socioeconomic, and public health policy data employed were obtained from the official information systems at the Ministry of Health, National Institute for Space Research, and Brazilian Institute of Geography and Statistics. A fuzzy system was developed to identify risk factors for the disease, using Python programming language. The results were analyzed with the bivariate Global Moran spatial analysis technique. RESULTS: It was observed that the Altamira microregion had the highest risk percentage for the disease, while Breves had the lowest, with significant differences in the relevance of its conditioning factors, mainly related to land use and cover patterns, in addition to demography and living conditions index, education and public health policies. CONCLUSIONS: The fuzzy system associated with the geostatistical technique was satisfactory for identifying areas with health vulnerability gradients related to deforestation, pasture, poverty, illiteracy, and health services coverage, as its conditioning variables. Thus, it was demonstrated that deforestation was the main risk factor for the disease. The system can also be used in environmental and epidemiological surveillance.",39078799
"Socio-ecological predictors of dengue in high incidence area of Delhi, India.",Singh PS; Chaturvedi HK,Scientific reports,2024,10.1038/s41598-024-67909-7,"Despite the amplified vector-control measures, sporadic-epidemic outbreaks of dengue incidence occurred in Delhi, intermittently. This study aimed to identify the major individual, household, and community level predictors of dengue cases in the hot-spots of Delhi. Primary survey data was collected from the selected sample of 347 households, at the South- West district of Delhi. This survey has interviewed the head of the household to collect the information of dengue incidences within last one year and household information related to socio-economic, demographic, environmental factors, such as housing pattern, density, water storage containers, drainage and garbage collection site and method, mosquito protection measures and awareness. Among 347 households, 54 households had reported dengue cases, and 69 individuals had reported dengue cases in last one year. Garbage and water collection site and methods, drainage and household type, household monthly income, indoor bamboo plants, construction site (within 500 m), presence of tertiary care hospital, were the significant predictors of dengue incidences in Delhi. In conclusion, strategic control measures and intense social interventions such as household and community awareness, promotion of healthy practices should be promoted to control the dengue incidences.",39043792
Material deprivation is associated with liver stiffness and liver-related outcomes in people with HIV.,Long C; Cinque F; Kablawi D; Kim DHD; Tadjo TF; Elgretli W; Ballesteros LR; Lupu A; Nudo M; Lebouche B; Kronfli N; Cox J; Costiniuk CT; De Pokomandy A; Routy JP; Klein MB; Lamonde F; Agnihotram RV; Saeed S; Sebastiani G,Liver international : official journal of the International Association for the Study of the Liver,2024,10.1111/liv.16022,"BACKGROUND: Socioeconomic status (SES) is a driver of health disparities and chronic diseases. People with HIV (PWH) are at risk for chronic liver diseases. We evaluated the association between low SES and hepatic outcomes in PWH. METHODS: We included PWH from a prospective cohort. SES was assessed by the Pampalon material and social deprivation index to classify the cohort into quintiles of deprivation. Multivariable linear regression was used to investigate associations of material and social deprivation with liver stiffness measurement (LSM) and controlled attenuation parameter (CAP) as markers of hepatic fibrosis and steatosis, respectively. Incidence of outcomes was evaluated through survival analysis. RESULTS: Among the 804 PWH included, 45% and 72% were living in areas of the highest material and social deprivation, respectively. Materially deprived PWH were more frequently female and of non-white ethnicity and had higher prevalence of metabolic comorbidities. After adjustments, material deprivation correlated with increased LSM (beta = 1.86, 95% CI 0.53-3.17) but not with CAP (beta = 6.47, 95% CI -5.55-18.49). Patients were observed for a median follow-up of 3.8 years. Incidence of liver-related events was higher in most materially deprived compared to most privileged PWH (hazard ratio 3.03, 95% CI 1.03-8.92), while there was no difference in extrahepatic outcomes or all-cause mortality. Social deprivation showed no association with either LSM or clinical outcomes. CONCLUSIONS: Living in materially deprived neighbourhoods as a proxy for lower SES, is associated with LSM and liver-related events in PWH. Future strategies should explore mechanisms underlying these relationships and whether enhanced material security improves hepatic outcomes.",39011563
"Active trachoma and associated factors in children aged 1 to 9 years living in Sasiga rural districts, East Wallaga Zone, Ethiopia, in 2022: a community- based cross-sectional study.",Lema M; Cheme MC; Shama AT; Terefa DR; Geta ET; Desalegn Z,BMC ophthalmology,2024,10.1186/s12886-024-03558-8,"BACKGROUND: Trachoma, caused by the bacteria Chlamydia trachomatous, is a contagious eye condition that frequently affects children and quickly spreads from child to child and from child to caregiver. The study aimed to assess the distribution of active trachoma and its associated risk factors among children 1-9 years aged in Households of Sasiga Rural District, Western Ethiopia, in 2022. METHODS: A community-based cross-sectional study was conducted among 577 randomly selected children from March to May 2022. A multistage sampling technique was used. Data was collected through an interviewer-based questionnaire, physical observation, and clinical eye examinations. Epi Data 3.1 was used for data entry. The data were analyzed with SPSS version 24. Bivariate and multivariate binary logistic regressions were performed. In multivariable logistic regression analysis, the adjusted odds ratio with a 95% confidence interval was used to identify factors associated with active trachoma. A P-value of 0.05 was considered statistically significant. RESULTS: The distribution of Active Trachoma among children 1-9 years aged in Households of the study area was 9.5%(95%CI:7.11,11.89). Being from a low-income household with a monthly income of less than 1500 ETB [AOR = 3.49, 95% CI: 1.39, 8.75], Households where the nearest water supply is more than 30 min away [AOR = 8.34, 95%CI: 1.89, 36.73], households with only one room [AOR = 2.98, 95%CI: 1.027, 8.68], and presence of feces in the compound of the households [AOR = 3.08, 95%CI: 1.41, 6.75] were associated with active trachoma in 1-9 years aged children living in the study setting. CONCLUSION: The distribution of Active Trachoma among children 1-9 years aged in Households of the study area was found to be high. Monthly income, the time it took to get water for home use, and the presence of feces in household compounds were all linked to active trachoma in children living in the study area. As a result, continuous sanitary education on trachoma transmission and prevention should be strengthened in the district.",38997653
SARS-CoV-2 seroprevalence and associated factors among people living with HIV in Sierra Leone.,Sun W; Song J; Lakoh S; Chen J; Jalloh AT; Sahr F; Sevalie S; Jiba DF; Kamara IF; Xin Y; Ye Z; Ding F; Dai LZ; Wang L; Zheng X; Yang G,"Immunity, inflammation and disease",2024,10.1002/iid3.1338,"BACKGROUND: Human immunodeficiency virus (HIV) infection is an important risk factor for Coronavirus Disease 2019 (COVID-19), but data on the prevalence of COVID-19 among people living with HIV (PLWH) is limited in low-income countries. Our aim was to assess the seroprevalence of the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) specific antibodies and associated factors among PLWH in Sierra Leone. METHODS: We conducted a cross-sectional survey of PLWH aged 18 years or older in Sierra Leone between August 2022 and January 2023. Participants were tested for SARS-CoV-2 antibodies using a rapid SARS-CoV-2 antibody (immunoglobulin M/immunoglobulin G [IgG]) kits. Stepwise logistic regression was used to explore factors associated with SARS-CoV-2 antibody seroprevalence with a significance level of p < .05. RESULTS: In our study, 33.4% (1031/3085) participants had received a COVID-19 vaccine, and 75.7% were SARS-CoV-2 IgG positive. Higher IgG seroprevalence was observed in females (77.2% vs. 71.4%, p = .001), adults over 60 years (88.2%), those with suppressed HIV RNA (80.7% vs. 51.7%, p < .001), antiretroviral therapy (ART)-experienced individuals (77.9% vs. 44.6%, p < .001), and vaccinated participants (80.7% vs. 73.2%, p < .001). Patients 60 years or older had the highest odds of IgG seroprevalence (adjusted odds ratio [aOR] = 2.73, 95% CI = 1.68-4.65). Female sex (aOR = 1.28, 95%CI = 1.05-1.56), COVID-19 vaccination (aOR = 1.54, 95% CI = 1.27-1.86), and ART (aOR = 2.20, 95% CI = 1.56-3.11) increased the odds, whereas HIV RNA >/= 1000 copies/mL (aOR = 0.32, 95% CI = 0.26-0.40) reduced the odds of IgG seroprevalence. CONCLUSIONS: We observed a high seroprevalence of SARS-CoV-2 antibody among PLWH in Sierra Leone. We recommend the introduction of targeted vaccination for PLWH with a high risk of severe COVID-19, especially those with an unsuppressed HIV viral load.",38990142
"COVID-19 Incidence, Risk Factors, Impact, and Related Stigma Among a Cohort of Persons With HIV in Washington, DC.",Barth SK; Monroe AK; Houston P; Benator D; Horberg M; Castel AD,Journal of acquired immune deficiency syndromes (1999),2024,10.1097/QAI.0000000000003447,"BACKGROUND: Studies on the incidence of COVID-19 among persons with HIV (PWHs) present varied results. Few studies have investigated the impact of COVID-19 infection on health and socioeconomic factors or COVID-19 stigma. We sought to measure the incidence and severity of COVID-19 infection among a cohort of PWHs, characterize associated risk factors and impact, and document perceptions of COVID-19-related stigma. METHODS: Data for this cross-sectional study come from the COVID-19 survey of participants in the DC Cohort longitudinal study from October 30, 2020, through December 31, 2022. Survey results were linked to electronic health records, including HIV laboratory test results and COVID test results. We conducted analyses comparing demographic, socioeconomic, HIV measures, and stigma among those with and without self-reported COVID-19. RESULTS: Of 1972 survey respondents, 17% self-reported COVID-19 infection, with the greatest incidence in the Omicron wave of the pandemic. We found statistically significant differences by age, employment status, essential worker status, education, and household income. Longer duration of HIV diagnosis was associated with greater incidence of COVID-19. PWHs who were overweight or obese had a greater incidence of COVID-19 compared with those who were not. Over 40% of PWHs with COVID-19 reported experiencing at least 1 form of COVID-19-related stigma. CONCLUSION: We observed a high incidence of COVID-19 infection among PWHs in DC. Furthermore, a substantial proportion of PWHs with COVID-19 reported experiencing COVID-19-related stigma. These findings add to the existing literature on COVID-19 coinfection among PWHs and highlight the need for awareness and support for those experiencing COVID-19 stigma.",38985440
Objective Neighborhood-Level Disorder Versus Subjective Safety as Predictors of HIV Transmission Risk and Momentary Well-Being.,Panlilio LV; Preston KL; Bertz JW; Moran LM; Tyburski M; Hertzel SK; Husami S; Adan F; Epstein DH; Phillips KA,AIDS and behavior,2024,10.1007/s10461-024-04413-z,"Mental health and HIV risk behavior have been studied with ecological momentary assessment (EMA), but this approach has not been combined with tracking of activity space (where people go and what they encounter there) in people with HIV and their social relations, who may be HIV+ or HIV-. Activity space represents a modifiable risk or protective factor for behavior related to health status and quality of life, in both clinical and nonclinical populations. We conducted an observational study with 286 participants (243 HIV+ and 43 HIV-), roughly matched for socioeconomic status and neighborhood of residence via three waves of snowball sampling. Each participant carried a smartphone for up to 4 weeks, making 5 randomly prompted entries and 1 end-of-day entry each day, plus self-initiated event-contingent entries for sexual activity and drug use. Responses to randomly prompted items provided subjective evaluations of the safety of the participant's current social and physical environment (the place they were and the people they were with). GPS-based location tracking-coupled with publicly available statistic indicating neighborhood-level physical disorder and socioeconomic disadvantage-provided an indicator of each participant's exposure to objective psychosocial hazard. We examined possible relationships of these objective and subjective environmental exposures with risky sexual and intravenous drug-use behavior, knowledge and utilization of antiretroviral treatment and prophylaxis, and momentary mental health (mood and stress, which relate to risky behavior and overall well-being). We found that both risky behavior and mental health were more related to participants' subjective evaluations of their activity space than to objective measures of neighborhood-level disorder, suggesting that, even within an objectively hazardous neighborhood, people who find a niche they perceive as socially and physically safe may engage in less risky behavior and have better well-being.Trial registration Clinicaltrials.gov Identifier NCT01571752.",38965184
Factors Associated with High Prevalence of Multibacillary Leprosy in West Bengal: A Case-Control Study.,Mukhopadhyay DK; Sarkar TK; Chatterjee S; Ray S; Roy P; Biswas AK,Indian journal of public health,2024,10.4103/ijph.ijph_1004_23,"BACKGROUND: High proportion of multibacillary (MB) among newly diagnosed leprosy cases poses a public health challenge. OBJECTIVES: This study aimed to find out the factors associated with the high burden of MB leprosy in West Bengal. MATERIALS AND METHODS: This case-control study was conducted from August 2020 to December 2022 in three high-endemic districts (annual new case detection rate >/=10/lakh) of West Bengal. OBJECTIVES: MB cases registered under the National Leprosy Eradication Programme were considered as case and paucibacillary (PB) cases were considered as control. Weighted sample sizes for cases and controls in each of the three districts were selected using simple random sampling from the list of registered leprosy patients. Requisite data were collected through structured interview with a validated questionnaire in Bengali. R, version 4.1.1 (R Foundation for Statistical Computing, 2021, Vienna, Austria) was used for data analysis. A binary logistic regression model was prepared with the type of leprosy as a dependent variable. RESULTS: Three hundred and ninety-eight individuals, 204 MB and 194 PB, participated in this study with 1.97% nonresponse rate. Gender, marital status, and diagnostic delay (adjusted odds ratio = 2.75 [1.66,4.65]) were associated with developing MB. Not perceiving the symptoms seriously (90, 56% [PB], 97, 51% [MB]), lack of knowledge about the disease and its complications (47, 29% [PB], 53, 28% [MB]), delayed referral by the private practitioners (11, 7% [PB], 22, 12% [MB]) were the major reasons of delay. CONCLUSION: This study identified a vulnerable group - married and migrated males. Changing from annual screening to quarterly screening along with capacity building and awareness generation of the targeted population is the need of the hour for eradicating the disease.",38953799
"The Risk Factors Associated with the Prevalence of Multimorbidity of Anaemia, Malaria, and Malnutrition among Children Aged 6-59 Months in Nigeria.",Obasohan PE; Walters SJ; Jacques RM; Khatab K,International journal of environmental research and public health,2024,10.3390/ijerph21060765,"In the last ten years, multimorbidity in children under the age of five years has become an emerging health issue in developing countries. The study of multimorbidity of anaemia, malaria, and malnutrition (MAMM) among children in Nigeria has not received significant attention. This study aims to investigate what risk factors are associated with the prevalence of multimorbidity among children aged 6 to 59 months in Nigeria. This study used two nationally representative cross-sectional surveys, the 2018 Nigeria Demographic and Health Survey and the 2018 National Human Development Report. A series of multilevel mixed-effect ordered logistic regression models were used to investigate the associations between child/parent/household variables (at level 1), community-related variables (at level 2) and area-related variables (at level 3), and the multimorbidity outcome (no disease, one disease only, two or more diseases). The results show that 48.3% (4917/10,184) of the sample of children aged 6-59 months display two or more of the disease outcomes. Being a female child, the maternal parent having completed higher education, the mother being anaemic, the household wealth quintile being in the richest category, the proportion of community wealth status being high, the region being in the south, and place of residence being rural were among the significant predictors of MAMM (p < 0.05). The prevalence of MAMM found in this study is unacceptably high. If suitable actions are not urgently taken, Nigeria's ability to actualise SDG-3 will be in grave danger. Therefore, suitable policies are necessary to pave the way for the creation/development of integrated care models to ameliorate this problem.",38929011
"Between a Rock and a Hard Place: ""I Decided to Keep Quiet"": A Qualitative Inquiry Into the Coping Experiences of Young People (15-24) Working at High-Risk Venues for HIV in Uganda.",Babirye S; Ssengooba F; Michielsen K,AIDS education and prevention : official publication of the International Society for AIDS Education,2024,10.1521/aeap.2024.36.3.198,"Employment linked with social venues has long been described as permissive environments for excessive drinking, disruptive/aggressive behaviors, and overt sexual behaviors, which are known risk factors for HIV. Yet, our understanding of the extent to which workers in such high-risk work settings cope with the various risks therein is still limited. This study explored the coping strategies employed by workers at social venues. We interviewed 47 workers at 22 social venues through small group discussions (15) and in-depth interviews (10) in 2021 in Rakai district, Uganda. All discussions were audiorecorded and transcribed verbatim before analysis. Data were analyzed using thematic content analysis. We found two main categories of coping strategies used by workers: acceptance of sexual risks and keeping safe. Acceptance of risks such as transactional sex was the most used strategy, hence highlighting negative coping. This calls for interventions for improving workers' coping efficiency and adjustment as well as interventions ameliorating the conditions underpinning increased risk of HIV at the venues.",38917301
Malaria in under-five children: prevalence and multi-factor analysis of high-risk African countries.,Mbishi JV; Chombo S; Luoga P; Omary HJ; Paulo HA; Andrew J; Addo IY,BMC public health,2024,10.1186/s12889-024-19206-1,"BACKGROUND: Malaria remains a significant public health challenge in Sub-Saharan Africa (SSA), particularly affecting under-five (UN5) children. Despite global efforts to control the disease, its prevalence in high-risk African countries continues to be alarming, with records of substantial morbidity and mortality rates. Understanding the association of multiple childhood, maternal, and household factors with malaria prevalence, especially among vulnerable young populations, is crucial for effective intervention strategies. OBJECTIVE: This study examines the prevalence of malaria among UN5 children in selected high-risk SSA countries and analyzes its association with various childhood, maternal, and household factors. METHODS: Data from the Malaria Indicator Surveys (MIS) spanning from 2010 to 2023 were analyzed. A weighted sample of 35,624 UN5 children from seven countries in sub-Saharan Africa (SSA) known for high malaria prevalence was considered in the analyses. Descriptive statistics and modified Poisson regression analysis were used to assess the association of multiple factors with malaria prevalence. Stata version 15 software was used in analyzing the data and statistical significance was set at a 5% significance level. RESULTS: The overall pooled prevalence of malaria among the studied population was 26.2%, with substantial country-specific variations observed. In terms of child factors, a child's age was significantly associated with malaria prevalence (APR = 1.010, 95% CI: 1.007-1.012). Children of mothers with higher education levels (APR for higher education = 0.586, 95% CI: 0.425-0.806) and Fansidar uptake during pregnancy (APR = 0.731, 95% CI: 0.666-0.802) were associated with lower malaria risk. Children from middle-wealth (APR = 0.783, 95% CI: 0.706-0.869) and rich (APR = 0.499, 95% CI: 0.426-0.584) households had considerably lower malaria prevalence compared to those from poor households. Additionally, rural residency was associated with a higher risk of malaria compared to urban residency (APR = 1.545, 95% CI: 1.255-1.903). CONCLUSION: The study highlights a notable malaria prevalence among under-five (UN5) children in high-risk SSA countries, influenced significantly by factors such as maternal education, Fansidar uptake during pregnancy, socioeconomic status, and residency. These findings underscore the importance of targeted malaria prevention strategies that address these key determinants to effectively reduce the malaria burden in this vulnerable population.",38915034
Spatial patterns and factors associated with the incidence of tuberculosis-diabetes in Brazil.,Cabral BVB; Monte GLA; Vasconcelos MN; Maranhao TA; Sousa GJB; Pereira MLD,Public health,2024,S0033-3506(24)00219-1,"OBJECTIVES: The aim of this study was to analyse the spatial patterns and factors associated with the incidence of tuberculosis-diabetes (TB-DM) in Brazil, from 2001 to 2019. STUDY DESIGN: Ecological study. METHODS: Brazilian municipalities were used as the units of analysis. The local empirical Bayesian rate and the spatial autocorrelation test were calculated. Moran and Getis-Ord Gi * were used to identify spatial clusters, and spatially weighted regression was conducted. RESULTS: In total, 75,021 new cases of TB associated with DM were reported in Brazil during the study period. Most Brazilian municipalities had an average TB-DM incidence of 1.0-2.0/100,000 inhabitants. The regression showed that the Gini index (beta = 0.85) and family health strategy coverage (beta = -0.26) were the two indicators that had the most influence on TB-DM incidence in Brazil. CONCLUSIONS: This study identified spatial clusters of TB-DM in Brazil. The results also indicated that social inequalities played a key role in the incidence of TB.",38897067
Climate change and its implications for kidney health.,Goldfarb DS; Patel AA,Current opinion in urology,2024,10.1097/MOU.0000000000001197,"PURPOSE OF REVIEW: Extremes of weather as a result of climate change are affecting social, economic and health systems. Kidney health is being threatened by global warming while treatment of kidney disease is contributing to increasing resource utilization and leaving a substantial carbon footprint. Improved physician awareness and patient education are needed to mitigate the risk. RECENT FINDINGS: Rising temperatures are changing kidney disease patterns, with increasing prevalence of acute kidney injury, chronic kidney disease and kidney stones. These issues disproportionately affect people suffering from social inequality and limited access to resources. SUMMARY: In this article, we review the effects of climate change on kidney stones, and acute and chronic kidney injury. Finally, we discuss the impact of renal replacement therapies on the environment and proposed ways to mitigate it.",38881301
Timing of sexual debut and associated sociodemographic and HIV risk factors among young people in Eswatini.,Chemhaka GB; Simelane MS,PloS one,2024,10.1371/journal.pone.0303942,"Young people in sub-Saharan Africa and specifically in Eswatini (previously Swaziland), continue to be disproportionately affected by HIV despite having equitable access to antiretroviral treatment. Early sexual debut is one of the many factors linked to HIV infection that is discussed in the context of general public health. Monitoring this behavior is essential for developing preventative, evidence-based interventions. This study aims to describe the early and/or typical sexual debut among young people in Eswatini and examines sociodemographic and HIV risk factors associated with early and typical sexual debut timing. We analyzed cross-sectional secondary data from the 2016/17 Swaziland HIV Incidence Measurement Survey (SHIMS), which had a representative sample of 2,383 young people aged 18-24. Respondents were selected using a two-stage stratified probability sampling design. We applied descriptive statistics and multivariable multinomial logistic regressions to examine the data. Out of the 2,383 respondents, 71.3% had sexual experience, with 4.1% and 26.5% reporting early sexual debut (<15 years) and typical sexual debut (<18 years), respectively. Our study found that age, sex, education, marital status, wealth, sexual partners in the past 12 months, and alcohol use were significantly associated with early and/or typical sexual debut. It is crucial to consider the sociodemographic factors and HIV risk factors of young people when designing programs and interventions aimed at preventing early sexual debut or transition. This approach is necessary to promote better sexual and reproductive health in alignment with sustainable development goals.",38875299
"The impact of living conditions and health interventions on tuberculosis, Denmark, 1876 to 2022.",Nordholm AC; Joergensen A; Holm LH; Andersen AB; Koch A; Andersen PH; Lillebaek T,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,2024,10.2807/1560-7917.ES.2024.29.24.2300652,"BackgroundDenmark possesses an exceptional historical data collection on tuberculosis (TB) from 1876 to the present, providing a unique opportunity to assess TB epidemiology over 147 years in Denmark.AimOur aim was to describe the TB disease burden in Denmark in relation to historical events, living conditions and health interventions during the past 147 years.MethodsWe performed a nationwide register-based ecological study including all persons with TB in Denmark from 1876 through 2022, correlating the TB incidence to social, economic and health indicators.ResultsIn Denmark, the overall TB incidence and mortality declined markedly over the past 147 years, only marginally influenced by specific TB interventions such as sanatoria, Bacillus Calmette-Guerin (BCG) vaccination, mass screenings and antibiotics. Parallel to this decline, the country experienced improved living conditions, as illustrated by decreased infant mortality and increased life expectancy and wealth. In 1978, Denmark became a low-incidence country for TB with risk groups predominantly affected, and with a continuous change in demographics towards fewer Danish-born cases and relatively more migrant cases.ConclusionsThe decline over time in TB incidence and mortality in Denmark preceded specific TB interventions and can, first of all, be attributed to improved living conditions. TB has now become a rare disease in Denmark, predominantly occurring in particular risk groups. Future elimination of TB will require a combination of specific health interventions in these risk groups combined with a continued focus on improving socioeconomic status and living conditions.",38873798
"Intimate Partner Violence and HIV Outcomes Among Women Living with HIV in Durban, South Africa.",Ojeaburu SO; Dorward J; Violette LR; Gibbs A; Shozi H; Sookrajh Y; Mhlongo T; Ngobese H; Garrett N; Drain PK,AIDS and behavior,2024,10.1007/s10461-024-04318-x,"We examined the impact of past-year intimate partner violence (IPV) on HIV outcomes among women living with HIV (WLHIV) in Durban, South Africa. We assessed past-year IPV using the WHO Violence Against Women Questionnaire. We conducted logistic regression to assess associations between demographic variables and IPV at baseline, and between IPV at baseline and longitudinal HIV outcomes. Among 235 WLHIV, 17% reported past-year emotional, physical, or sexual IPV. At baseline, HIV-disclosure to partner was associated with 4.35-fold odds of past-year IPV (95% CI 1.17-16.10) after controlling for children, education, and harmful alcohol use. In the prospective analysis, IPV was associated with not achieving the co-primary outcome of retention in care and viral suppression in univariate (OR = 2.32, 95% CI 1.04-5.18), but not in the multivariate model. In the context of rapid treatment scale-up, the high burden of IPV among WLHIV needs to be prioritized, with an emphasis on disclosure support.",38869756
Human papillomavirus in women infected with human immunodeficiency virus: association with viral load and lymphocyte count.,Morais ACCD; Ferreira AS; Barbosa CDT; Lima MFB; Fook KD; Carvalho MM; Muniz ACS; Araujo DR; Monteiro PM; Araujo MJAM; Monteiro SCM; Lopes FF,Revista do Instituto de Medicina Tropical de Sao Paulo,2024,S0036-46652024000100217,"Women living with human immunodeficiency virus are at an increased risk of developing cancers related to human papillomavirus (HPV). Thus, it is important to combine clinical assessments, serological screening, and HPV data for planning prevention policies. This study aimed to identify HPV and its specific types in the cervical, anal, and oral mucosa of HIV-seropositive women, associating it with viral load and lymphocyte count. Sociodemographic characteristics, health data (CD4+ and CD8+ T cell counts and viral load), and biological samples (cervical, anal, and oral) were collected from 86 HIV-positive women undergoing antiretroviral therapy. Data were classified according to the presence or absence of HPV-DNA, HPV-DNA presence at one or more anatomic sites, and level of oncogenic risk, considering low- and high-risk oncogenic HPV-DNA groups. The presence of HPV in the cervicovaginal site was 65.9%, 63.8% in anal canal, and 4.2% in oral mucosa. A viral load >/=75 HIV copies/mL was associated with the presence of HPV-DNA. There was an association between viral load and the low-risk HPV or high-risk HPV groups. We found a high prevalence of HPV infection in HIV-seropositive women, particularly in the cervical and anal mucosa, with viral load >/=75 HIV copies/mL being associated with HPV-DNA presence.",38865574
Surveillance of close contacts of patients with infectious tuberculosis: a prospective cohort study.,Ma Z; Duan S; Wang W; Liu R; Li S; Shang Y; Zhang X; Yuan J; Gao M; Pang Y,Antimicrobial resistance and infection control,2024,10.1186/s13756-024-01419-z,"BACKGROUND: A long-term follow-up of close contacts to monitor their infection status is essential to formulate a promising screening strategy. The study aimed to assess the dynamics of tuberculosis (TB) infection using Interferon-gamma release assay (IGRA) and determine risk factors associated with TB infection. METHODS: Definite TB patients were interviewed and their household contacts were screened for TB infection by IGRA during 12-month longitudinal investigation. RESULTS: We included in our analyses 184 household contacts of 92 index TB patients. 87 individuals (47.3%) in contact group progressed to TB infection, of whom 86 developed into IGRA positive within 24 weeks. Close contacts with a higher age and comorbidities are easier to exhibit TB infection. Analysis showed that risk factors for becoming IGRA-positive individuals included residence, older age, comorbidities, BCG scar and high bacterial load. Contacts with BCG scar had a lower IGRA-positive rate. CONCLUSION: IGRA conversion generally occurs within 24 weeks after exposure. The TB transmission happens since subclinical TB stage and the presence of BCG scar is an independent protective factor reducing risk of TB infection among close contacts. Repeated IGRA tests are sensible to conducted among close contacts at 24 weeks after exposure to identify the IGRA-positive individuals.",38853242
