paper_id,cause,effect,description,effect_polarity,edge_label
10.1038_s41598-021-96035-x,Marital status (Other),Lower total cholesterol,"− 0.30 (− 0.52, − 0.08) − 0.26 (− 0.50, 0.02)",Negative,other_marital_status_lower_total_cholesterol
10.1038_s41598-021-96035-x,Maternal age group (14–19),Higher total cholesterol,Reference,Unknown,maternal_age_group_higher_total_cholesterol
10.1038_s41598-021-99156-5,Climate change,Mortality,"Climate change is expected to affect mortality through a number of other, more indirect pathways.",Negative,affects_mortality
10.1038_s41598-022-06012-1,Sanitation and drinking water facilities,None of the socioeconomic variables were picked during the geostatistical variable selection process,"probable loss of variability as a result of household data aggregation for community analysis; insufficient coverage of water and sanitation resource facilities; Lack of standard and better water, sanitation and hygiene assessment tool leading to information bias; latrine efficiency in containing excreta",Unknown,sanitation_facilities_impact_variable_selection
10.1038_s41598-024-67909-7,"Dengue knowledge, socio-demographic factors, and ecological conditions in Delhi",Effective dengue control strategies,These factors are crucial for crafting effective dengue control strategies.,Positive,crafts_control_strategies
10.1038_s41598-024-67909-7,Penalized multivariable logistic regression model,Multicollinearity adjustment,The model effectively adjusted the multicollinearity and selected the most relevant predictors.,Positive,adjusts_multicollinearity
10.1038_s41598-024-82101-7,Not receiving antiretroviral treatment,"""Completed suicide""","""Not receiving antiretroviral treatment was a significant predictor of completed suicide.""",Negative,not_receiving_antiretroviral_treatment_leads_to_completed_suicide
10.1038_s41598-024-82101-7,Higher emotional stress,"""Hopelessness""","""High levels of hopelessness were associated with higher emotional stress.""",Both,associated_with
10.1038_s41598-024-82101-7,HIV infection,"""Suicide""","""HIV infection was a cause of death by suicide.""",Positive,is_a_cause_of
10.1038_s41598-024-82101-7,Fear of discrimination,"""Suicide""","""Fear of discrimination was a cause of death by suicide.""",Positive,is_a_cause_of
10.1038_s41598-025-93476-6,Pregnant,Unfavorable outcomes,Pregnancy increases unfavorable outcomes for DM-TB comorbidity.,Positive,increases_unfavorable_outcomes
10.1038_s41598-025-93476-6,Male sex,Unfavorable outcomes,Male sex is associated with unfavorable outcomes for DM-TB comorbidity.,Positive,associated_with_unfavorable_outcomes
10.1038_s41598-025-93476-6,Black race/color,Unfavorable outcomes,Black race/color is associated with unfavorable outcomes for DM-TB comorbidity.,Positive,associated_with_unfavorable_outcomes
10.1038_s41598-025-93476-6,Tuberculosis relapse,Unfavorable outcomes,TB relapse increases unfavorable outcomes for DM-TB comorbidity.,Positive,increases_unfavorable_outcomes
10.1038_s41598-025-93476-6,HIV-positive status,Unfavorable outcomes,HIV-positive status is associated with unfavorable outcomes for DM-TB comorbidity.,Positive,associated_with_unfavorable_outcomes
10.1038_s41598-025-93476-6,Alcoholism,Unfavorable outcomes,Alcoholism increases unfavorable outcomes for DM-TB comorbidity.,Positive,increases_unfavorable_outcomes
10.1038_s41598-025-93476-6,Illicit drug use,Unfavorable outcomes,Illicit drug use increases unfavorable outcomes for DM-TB comorbidity.,Positive,increases_unfavorable_outcomes
10.1038_s41598-025-93476-6,Smoking,Unfavorable outcomes,Smoking is associated with unfavorable outcomes for DM-TB comorbidity.,Positive,associated_with_unfavorable_outcomes
10.1038_s41598-025-93476-6,Homelessness,Unfavorable outcomes,Homelessness increases unfavorable outcomes for DM-TB comorbidity.,Positive,increases_unfavorable_outcomes
10.1038_s41598-025-93476-6,Immigrant status,Unfavorable outcomes,Immigrant status is associated with unfavorable outcomes for DM-TB comorbidity.,Positive,associated_with_unfavorable_outcomes
10.1038_s41598-025-93476-6,Indigenous identity,Unfavorable outcomes,Indigenous identity increases unfavorable outcomes for DM-TB comorbidity.,Positive,increases_unfavorable_outcomes
10.1038_s41598-025-93476-6,Government assistance beneficiaries,Unfavorable outcomes,Government assistance beneficiaries are associated with unfavorable outcomes for DM-TB comorbidity.,Positive,associated_with_unfavorable_outcomes
10.1136_bmjgh-2020-003550,BCG vaccination,"""LTBI""","""No evidence of association between BCG vaccination and LTBI.""",Unknown,has_no_association_with
10.1136_bmjgh-2020-003550,Recent TB contact,"""LTBI""","""Higher odds of LTBI among individuals with recent TB contact.""",Positive,increases
10.1136_bmjhci-2024-101179,Number of total screens (dashboard),Number of positive screens (dashboard),The intervention increases the number of positive screens.,Positive,intervention_increases_positive_screens
10.1136_bmjhci-2024-101179,Number of tests (NHLS),Number of positive tests (NHLS),The intervention increases the number of positive tests.,Positive,intervention_increases_positive_tests
10.1136_bmjopen-2023-071874,HIV infection,"""Increasing risk of ARI""","""HIV infection is the underlying cause of increasing risk of ARI.""",Negative,increases_risk_of_ari
10.1136_thoraxjnl-2021-218345,post-TB,Airflow obstruction,Participants gave informed consent to participate in the study before taking part.,Positive,takes_part_in_leads_to_airflow_obstruction
10.1136_thoraxjnl-2021-218345,"age,sex,region,educational level,smoking history and pack-years,HAP,occupational exposure and history of asthma",Confounding variables,Potential confounders considered were:...,Unknown,is_confounded_by
10.1186_s12879-020-05304-z,Cause,Effect,Description,Effect_Polarity,Edge_Label
10.1186_s12879-020-05304-z,TB outbreaks,Prevalence of DR-TB patients,Several TB outbreaks among students have been recently reported.,Positive,leads_to
10.1186_s12879-020-4800-y,Simple scoring systems,Study was motivated by,TCS and Infectivity Score were previously proven to reflect TB exposure.,Positive,motivates_study
10.1186_s12879-020-4800-y,The TCS could not reliably identify individual subjects or families with subclinical TB.,Continued search for host,Needed continued search for a better host diagnostic test.,Positive,needs_continued_search
10.1186_s12879-020-4828-z,degrees of poverty,"""TB transmission""",Degrees of poverty within low socio-economic setting may contribute to increased TB transmission.,Positive,contributes_to
10.1186_s12879-020-4924-0,Residing in a high HIV prevalence stratum,"""Being part of an HIV infected couple""","""Residing in a high HIV prevalence stratum was significantly associated with being part of an HIV infected couple.""",Positive,hiv_prevalence_stratum_associated_with_hiv_infection
10.1186_s12879-021-05967-2,Low education,Unemployment,Low education levels are associated with unemployment...,Negative,low_education_leads_to_unemployment
10.1186_s12879-021-05967-2,Lower education levels,Poorly paid work,Lower education levels are associated with poorly paid work...,Negative,lower_edu_leads_to_poor_pay
10.1186_s12879-021-06284-4,Cause,Effect,Description,Effect_Polarity,Edge_Label
10.1186_s12879-021-06284-4,TB patients,Psychological distress,TB patients' treatment can lead to psychological distress.,Negative,promotes_distress
10.1186_s12879-021-06668-6,Less than 200,CD4 counts,Less than 200 CD4 count values were observed.,Negative,has_lower_cd4_count
10.1186_s12879-021-06668-6,Greater than/equal to 500,Viral load,Participants with greater than/equal to 500 viral load had lower median CD4 counts.,Negative,has_lower_cd4_count
10.1186_s12879-021-06668-6,No/some primary education,PLWH and syphilis co-infection,Having no/some primary education increased the risk for HIV and syphilis co-infection.,Positive,increases_risk
10.1186_s12879-021-06668-6,Alcohol consumption,PLWH and syphilis co-infection,Alcohol consumption also increased the risk for HIV and syphilis co-infection.,Positive,increases_risk
10.1186_s12879-023-08627-9,Cause,Effect,Description,Effect_Polarity,Edge_Label
10.1186_s12879-023-08627-9,TB rate,COVID-19 incidence,A higher TB rate had a significant positive effect on COVID-19 incidence.,Positive,tb_rate_accelerates_covid_19
10.1186_s12879-023-08627-9,Proportion of literacy in neighbourhood,COVID-19 incidence,A higher proportion of literacy in the neighbourhood had a significant positive effect on COVID-19 incidence.,Positive,literacy_increases_covid_19
10.1186_s12879-023-08627-9,Low monthly income (< minimum wage),COVID-19 incidence,A lower proportion of low monthly income (< minimum wage) had a significant negative effect on COVID-19 incidence.,Negative,low_income_decreases_covid_19
10.1186_s12879-023-08627-9,Age ≥ 65 years,COVID-19 incidence,A higher age (≥ 65 years) had a significant negative effect on COVID-19 incidence.,Negative,age_increases_decreases_covid_19
10.1186_s12879-023-08627-9,Covid-19 rate,TB incidence,A higher COVID-19 rate had a significant positive effect on TB incidence.,Positive,covid_rate_accelerates_tb
10.1186_s12884-025-07735-5,Region,"""Malaria parasitaemia""","""Malaria parasite infection at booking is more common in the Volta region compared to Ashanti.""",Positive,malaria_parasite_infection_at_booking_in_volta_region
10.1186_s12885-020-06891-5,Chronic inflammation,"""multiple tumour-promoting responses and seeds neoplastic microenvironments""","""Tumour-promoting responses and seeds neoplastic microenvironments caused by chronic inflammation.""","""Positive""",causes_tumour_promotion
10.1186_s12885-020-06891-5,Tuberculosis infection,"""genome alteration with DNA damage led by oxidative stress""","""Tuberculosis infection leads to genome alteration with DNA damage.""","""Negative""",leads_to_DNA_damage
10.1186_s12889-019-7997-1,Having a paid employment,Paid employment,Having a paid employment correlates with having a higher level of HIV knowledge and correct answers.,Positive,correlates_with_hiv_knowledge
10.1186_s12889-019-8036-y,Racial group categories,Health inequalities,"Racial group categories represent a complex set of interconnected historical processes that place people in separate and racially unequal contexts, with unequal social and economic exposures.",Negative,racial_group_categories_impacts_health
10.1186_s12889-020-08656-y,Aging,DENV infection,Age was found to be a significant risk factor for DENV infection.,Positive,increases_dengue_fever_infection
10.1186_s12889-020-08656-y,Low income,DENV infection,The final results using logistic regression indicated that low income was significantly associated with DENV infection.,Negative,negatively_affects_dengue_fever_prevention
10.1186_s12889-020-08656-y,Poor mosquito control,DENV infection,The final results using logistic regression indicated that poor mosquito control was significantly associated with DENV infection.,Positive,increases_dengue_fever_infection
10.1186_s12889-020-08838-8,many FBWs have children who are partially or fully dependent upon them,Children dependency,Many FBWs raise these children alone without financial support from the fathers.,Negative,rises_to_alone_dependency
10.1186_s12889-020-08838-8,No restrictions on time period or language were applied.,HIV research,HIV research is conducted without restrictions on time period or language.,Positive,conducted_without_restrictions
10.1186_s12889-020-08952-7,Having multiple sexual partners,"""T. pallidum infection""",Many young individuals... were more likely to search jobs outside and were not able to participate in the study.,Negative,does_not_participate_in_study
10.1186_s12889-020-08952-7,Ever using injection drugs,"""T. pallidum infection""","History of drug abuse and other high-risk behaviors relied on self-reporting without further verification, which might result in a misclassification bias for the estimation of associations between study factors and T. pallidum infection.",Negative,misclassifies_associations
10.1186_s12889-020-09121-6,Started offering ART in the area via mobile clinics,"""Other strategies implemented after the survey""","""Scaled up Assisted Partner Notification","‘Moon Light HIV’""","""HIV cascade of care indicators (90 – 90-90 targets) being achieved"""
10.1186_s12889-020-09150-1,Cause,Effect,Description,Effect_Polarity,Edge_Label
10.1186_s12889-020-09150-1,No choice,Dealing with PLTB,So I've got a son with a TB … For now he's okay and let me say that I'm dealing with that because I {} {have} no choice.,Negative,cannot_escape_tb
10.1186_s12889-020-09150-1,Obligation,Taking care of family member,"However, it seemed that this feeling of taking care of their family member who was diagnosed with TB, was more out of a sense of obligation.",Positive,takes_care_of_family_member
10.1186_s12889-020-09278-0,Household wealth index,HIV infection,"Programs and interventions focusing on control of HIV/AIDS should focus on widowed, divorced and separated individuals as well as promoting appropriate prevention strategies such as condom use, use of post/pre-exposure prophylaxis and abstinence from sexual activities to prevent contracting HIV or other sexually transmitted infections (STIs).",Positive,focuses_on_control
10.1186_s12889-020-09278-0,Lifetime sexual partners,HIV infection,Our results also confirmed a significant positive association between the number of lifetime sexual partners and increased chances of HIV infection. Lifetime sexual partners reported may be a proxy for sexual behavior and lifetime sexual history.,Positive,increases_hiv_risk
10.1186_s12889-020-8426-1,Low CD4 count,"""Higher risk of LTFU""",Patients with low CD4 between 0 and 250 cells/μl at enrolment were at a higher risk of LTFU in our study.,Negative,lftu_risk
10.1186_s12889-020-8426-1,"Delaies in diagnosis, enrolment into HIV care, and initiation of ART","""Low median CD4 count""",This data is similar to data published from several parts of SSA [38–41].,Positive,low_cd4_count
10.1186_s12889-021-12100-0,Experiencing all types of IPV,HIV infection,Experiencing all types of IPV increases HIV infection.,Negative,intimate_partner_violence_hiv_infection
10.1186_s12889-021-12100-0,Having an alcoholic husband,HIV infection,Having an alcoholic husband is associated with HIV infection.,Unknown,having_alcoholic_husband_hiv_infection
10.1186_s12889-024-19206-1,MIS utilization,"""Comprehensive analysis""","""The utilization of large-scale datasets from MIS ensures a comprehensive analysis.""",Positive,utilizes_mis_for_analysis
10.1186_s12889-024-19206-1,Multiple associated factors,"""More nuanced understanding""","""The inclusion of multiple associated factors allows for a more nuanced understanding of the complex determinants influencing malaria positivity in these nations.""",Positive,provides_more_nuanced_understanding
10.1186_s12889-024-20664-w,Social development,Decreasing ASIR,All SDI countries showed a declining trend in ASIR.,Negative,declines_asir
10.1186_s12889-024-20664-w,Level of social development,Tuberculosis incidence,"According to previous research records, the level of social development is an important factor affecting the incidence,",Unknown,is_relevant_to
10.1186_s12889-024-20666-8,X8,Alcohol consumption,income level was negatively correlated with alcohol consumption,Negative,correlates_with_alcohol_consumption
10.1186_s12889-024-20666-8,X2,Income level,income level was negatively correlated with HCV,Negative,negatively_correlated_with_hcv
10.1186_s12889-025-22211-7,Mother’s education level,Malaria status,We used a regression model using SPSS 21 software under Windows.,Positive,explains_malaria_status
10.1186_s12889-025-22211-7,Place of residence,Malaria status,The aim of this study is to help identify the factors that determine malaria status in Niger.,Unknown,is_relevant_to
10.1186_s12889-025-22211-7,Mosquito net ownership,Malaria status,"In our study, we have the following independent variables:...",Negative,reduces_malaria_risk
10.1186_s12889-025-22211-7,Number of children in the household,Malaria status,We also used Multiple Component Analysis (MCA) to establish the profile of children who are active.,Positive,influences_malaria_status
10.1186_s12889-025-22211-7,Age,Malaria status,"In our study, we have the following independent variables:...",Unknown,is_relevant_to
10.1186_s12913-020-05284-5,Year of study,"""Health care seeking behavior from Health Facilities""","""The year of study did not have a significant effect on health care seeking behavior.""",Negative,year_of_study_no_effect_on_health_care_seeking_behavior
10.1186_s12913-020-05284-5,Sample size,"""Not seeking health care from any sources""","""A larger sample size was associated with an increase in not seeking health care from any sources.""",Positive,sample_size_increases_not_seeking_health_care
10.1186_s12936-020-03423-1,Male,Increased odds of having malaria,"If an individual is male, it increases their chances of getting malaria.",Positive,male_increases_malaria
10.1186_s12936-020-03423-1,Age 4y+,Increased odds of having malaria,The age group 4 years and above has a higher risk of contracting malaria.,Positive,affects_malaria_risk
10.1186_s12936-020-03423-1,Aging (15-64 years) and Aging (65 years and above),Increased odds of having malaria,Older individuals have a greater likelihood of getting infected with malaria.,Positive,affects_malaria_risk
10.1186_s12936-020-03423-1,Household does not own a hamlet,Decreased odds of having malaria,Living in a household that does not own a hamlet has a protective effect against malaria.,Negative,protects_against_malaria
10.1186_s12936-020-03423-1,Lives > 20 km from an urban area,Decreased odds of having malaria,Residing more than 20 kilometers away from an urban area reduces the risk of getting malaria.,Positive,reduces_risk
10.1186_s12936-020-03443-x,Lowest SES quintile,Increased ITN use,Only 82.6% of children in the lowest quintile (most poor) were reported to use an ITN the previous night.,Positive,increases_itn_use
10.1186_s12936-020-03443-x,Wealth quintiles,Lower Plasmodium falciparum infection rate,The finding that the least poor children have a higher P. falciparum infection risk is not explained by a greater number of passively detected infections in these children.,Negative,reduces_infection_rate
10.1186_s12936-020-3103-5,Proxy input parameters,Might overestimate malaria cases,The percentage who sought treatment for fever in the past 2 weeks was used as a proxy indicator for seeking malaria care. This might have overestimated malaria cases as there are other causes of fever among individuals (besides malaria).,Negative,overestimates_malaria_cases
10.1186_s12936-020-3103-5,LLIN interventions,Would eliminate private health expenditures,"The four interventions would eliminate about $4,627,800 of private health expenditures, and the poorest income quintiles would see the greatest FRP benefits.",Positive,eliminates_private_health_expenditures
10.1186_s12936-020-3103-5,Malaria vaccine,Would prevent 2% of malaria-related child deaths,Only 2% of malaria-related child deaths would be prevented from the vaccine in this study.,Negative,prevents_child_deaths
10.1186_s12936-021-03948-z,Malaria infection,Anaemia,Acute and repeated malaria infections over time have a detrimental effect on haemoglobin levels.,Negative,cases_malaria_anemia
10.1186_s12936-021-03948-z,Malaria infection,Anaemia,The results from the predictions indicate a 92.5% prevalence of anaemia among malaria positive children.,Positive,predicts_anaemia
10.1186_s12936-023-04756-3,Sex of child,Lower odds of under-five malaria infection,associated with slightly lower odds of under-five malaria infection (AOR = 0.98; 95% CI 0.97–0.99).,Positive,sex_of_child_malaria_infection
10.1186_s12936-024-04939-6,Household size,Malaria risk,Addressing these underlying socio-economic determinants is essential for developing holistic malaria control strategies.,Positive,address_mosquito_breeding
10.1186_s12936-024-04939-6,Type of mosquito net,Malaria status,The correlation between household size and malaria risk underscores the broader implications of socio-demographic factors in shaping malaria transmission dynamics within communities.,Both,makes_malaria_status
10.1186_s12936-024-04965-4,Age,"""Plasmodium infection status""",Individuals who's aged < 5 was 86% more likely to have Plasmodium infection.,Negative,decreases_mosquito_infection
10.1186_s12936-024-04965-4,Fever,"""Plasmodium infection status""","""Fever during survey time was associated with a decreased risk of Plasmodium infection.""",Positive,increases_resistance_to_malaria
10.1186_s12936-024-04997-w,MHHs,Increased malaria infection,FHHs may demonstrate more effective malaria prevention measures than MHHs.,Positive,more_effective_malaria_prevention
10.1186_s12936-024-05038-2,Case,Data abstraction,"Information including patient’s age, sex, clinical information (Table 1), date of admission and discharge, outcome, referral status, treatment given, and the physician who saw the client most frequently.",Positive,data_abstraction
10.1186_s12936-024-05185-6,Diarrhea,Malaria infection,Yes 1.21 (0.87–1.68) 0.269,Unknown,diarrhea_malaria_infection
10.1186_s12936-024-05228-y,Torn ITNs,Lose potency,Torn ITNs might not be protective against mosquitoes anymore.,Negative,loses_potency
10.1186_s12936-024-05228-y,Age < 5,Has lower malaria positivity rate,-4.52 (95% C.I) -0.033,Positive,had_lower_malaria_rate
10.1186_s12936-024-05228-y,Age 5-14,Has lower malaria positivity rate,-3.49 (95% C.I) -0.71,Positive,had_lower_malaria_rate
10.1186_s12936-024-05228-y,Age > 14,Has higher malaria positivity rate,4.52 (95% C.I) 1.74,Positive,had_higher_malaria_rate
10.1186_s12936-024-05238-w,Malaria RDT results,Malaria,Table 2 Association between participants’ characteristics and malaria rapid diagnostic test (RDT) results.,Positive,associated_with_malaria
10.1186_s12936-024-05238-w,Household head occupation,Malaria,Table 2 Association between participants’ characteristics and malaria rapid diagnostic test (RDT) results.,Unknown,is_associated_with_malaria
10.1186_s12936-024-05238-w,Household head education,Malaria,Table 2 Association between participants’ characteristics and malaria rapid diagnostic test (RDT) results.,Unknown,is_associated_with_malaria
10.1186_s12936-024-05238-w,Household wealth tertile,Malaria,Table 2 Association between participants’ characteristics and malaria rapid diagnostic test (RDT) results.,Positive,is_associated_with_malaria
10.1186_s12936-024-05238-w,Malaria,Anaemia,Malaria is associated with anaemia.,Positive,is_associated_with_anaemia
10.1186_s12936-025-05244-6,Malaria diagnosis based on self-reports,Malaria misclassification,Knowledge of malaria is used for diagnosis.,Negative,misclassifies_malaria
10.1186_s12936-025-05244-6,Low knowledge level,High knowledge level,"Low and ""High"" knowledge levels were classified based on participants' responses.",Both,knowledge_levels
10.1186_s12936-025-05289-7,Mother's education level,Wealth index,Multiple imputations by chained equations (MICE) is a powerful and flexible method for handling missing data...,Positive,multiple_imputation_handles_missing_data
10.1186_s12936-025-05289-7,Wealth index,Malaria prevalence,The aim of this study was to determine the risk factors associated with positive malaria RDT results.,Unknown,is_associated_with
10.1186_s12936-025-05313-w,Socioeconomic factors,"""Effective malaria prevention""","""Critical role of socioeconomic factors in effective malaria prevention""",Positive,socioeconomic_factors_contributes_to_malaria_prevention
10.1186_s12936-025-05340-7,,,,,
10.1186_s12940-025-01180-9,Changes in temperature condition,"""alter breeding sites""","""Breeding site changes may alter survival and proliferation of sandflies.""",Positive,alters_survival_proliferation
10.1186_s12940-025-01180-9,Temperature deviation > 1,"""VL cases increase""","""Rapid temperature increases significantly promote disease transmission.""",Positive,promotes_transmission
10.1186_s12940-025-01180-9,Increased precipitation,"""VL risk elevation""","""Combined effects of increased precipitation and rising temperatures due to climate change may further elevate the risk of VL and expand its endemic areas.""",Positive,elevates_risk
10.1186_s12940-025-01180-9,Climate change,"""VL cases increase""","""The combined effects of increased precipitation and rising temperatures due to climate change may further elevate the risk of VL and expand its endemic areas.""",Positive,increases_cases
10.1186_s12955-021-01702-2,Cause,Effect,Description,Effect_Polarity,Edge_Label
10.1186_s12955-021-01702-2,Age below 25 years,GPH,,Negative,lowers_physical_health
10.1186_s12955-021-01702-2,Married,GMH,,Positive,improves_mental_health
10.1186_s12955-021-01702-2,Divorced/widowed,GMH,,Unknown,affects_mental_health
10.1186_s12955-021-01702-2,Unemployed,GPH,Tackling the issue of unemployment and food insecurity improves physical HRQoL.,Negative,impedes_physical_health
10.1186_s12955-021-01702-2,Food-insecure,GPH,Tackling the issue of unemployment and food insecurity improves physical HRQoL.,Negative,impedes_physical_health
10.1186_s12955-021-01702-2,Food-insecure,GMH,,Positive,improves_mental_health
10.1186_s12955-021-01702-2,Comorbidities,GPH,,Unknown,affects_physical_health
10.1186_s12981-022-00498-5,Socio-economic status,Psychological distress,Addressing social and resource inequality...will address social stressors and mitigate psychological distress.,Negative,mitigates_stress
10.1186_s12981-022-00498-5,Educational achievement,Self-efficacy,Educational achievement has a positive effect on outlook in life and increase self-efficacy...,Positive,increases_self_efficacy
10.1186_s12981-022-00498-5,Employment status,Mental health,"Employment promotes positive emotions due to social security since jobs provide resources that can mitigate stress, support healthy lifestyles and thereby promote mental health.",Positive,mitigates_stress
10.1186_s12981-025-00745-5,Disease burden,indicating greater absolute inequality,The bottom panels present the concentration index (negative values indicate the concentration of disease burden in disadvantaged populations) and Lorenz curves that illustrate the distribution of DALYs relative to the population distribution by socioeconomic status,Negative,indicates_greater_absolute_inequality
10.1186_s12992-022-00855-z,LNINF,LNPHY,"Education imparts knowledge and builds awareness for maintaining good health, which also plays a role in reducing infant and child mortality rates.",Positive,bidirectional_health_impacts
10.1186_s12992-022-00855-z,LNINF,LNHIV,Increase in the HIV prevalence rate increases both the infant and child mortality rates.,Negative,increases_mortality_rates
10.1186_s12992-022-00855-z,LNPHY,LNINF,"Public health expenditure, numbers of physicians, GDP , education, good governance, and globalization reduce infant and child mortality rates.",Positive,reduces_mortality_rates
10.1186_s12992-022-00855-z,LNINF,Government,Good governance plays a role in reducing infant and child mortality rates.,Positive,better_governance_impacts
10.1186_s13011-020-00301-6,Male sex,Male sex X2 = 17.999 P = 0.000,Strong and positive,associated with,strongly_associated_with
10.1186_s13011-020-00301-6,Low education,Lower education X2 = 9.86 P = 0.000,Strong and positive,related to,strongly_related_to
