"attr","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","degree.layout","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"Environmental","2.0","0.0","0.5","0.0","1","3","1","0","false","Mean air pressure","21.0","1","0","false","0","Mean air pressure","0"
"Socioeconomic","1.8333333333333333","0.0","0.5454545454545455","0.0","1","2","1","0","false","Lower promiscuity from 1980 onwards","12.0","1","0","false","0","Lower promiscuity from 1980 onwards","0"
"Socioeconomic","1.8333333333333333","0.0","0.5454545454545455","0.0","1","2","1","0","false","The proportion of male pending short links that are fulfilled by females","12.0","1","0","false","0","The proportion of male pending short links that are fulfilled by females","0"
"Poverty","1.4","0.0","0.7142857142857143","0.0","3","2","3","0","false","SES","10.333333333333334","3","0","false","0","SES","0"
"Infectious diseases","1.0","0.17197181903064257","1.0","0.0","27","1","33","28","false","Malaria","1.4814814814814814","5","2","false","1","Malaria","4052"
"Land use","1.6666666666666667","0.0","0.6","0.0","1","2","1","0","false","Vegetation density","27.0","1","0","false","0","Vegetation density","0"
"Diseases","0.0","0.0","0.0","0.0","3","0","3","3","false","Lower total cholesterol","3.5","0","1","false","0","Lower total cholesterol","0"
"Diseases","0.0","0.0","0.0","0.0","1","0","2","2","false","Higher total cholesterol","2.0","0","0","false","0","Higher total cholesterol","0"
"Socioeconomic","1.0","0.0","1.0","0.0",,"1","1","0","false","Maternal age group (14–19)","2.0","1","0","false","0","Maternal age group (14–19)","0"
"Diseases","0.0","0.0","0.0","0.0","1","0","1","1","false","Mortality","10.0","0","0","false","0","Mortality","0"
"Infectious diseases","1.0","0.041592394533571005","1.0","0.0","9","1","11","9","false","Dengue","2.111111111111111","2","0","false","1","Dengue","980"
"Infectious diseases","0.0","0.0","0.0","0.0","1","0","1","1","false","Dengue control strategies","9.0","0","0","false","0","Dengue control strategies","0"
"Diseases","0.0","0.0","0.0","0.0","2","0","2","2","false","Suicide","6.5","0","0","false","0","Suicide","0"
"Poverty","1.0","0.0","1.0","0.0","1","1","1","0","false","Fear of discrimination","2.0","1","0","false","0","Fear of discrimination","0"
"Others","1.0","0.0","1.0","0.0",,"1","1","0","false","Pregnant","12.0","1","0","false","0","Pregnant","0"
"Others","0.0","0.0","0.0","0.015151515151515152",,"0","12","12","false","Unfavorable outcomes","4.0","0","0","false","0","Unfavorable outcomes","0"
"Others","1.0","0.0","1.0","0.0",,"1","3","1","false","Male sex","12.0","2","0","false","1","Male sex","0"
"Socioeconomic","1.0","0.0","1.0","0.0",,"1","1","0","false","Black race/color","12.0","1","0","false","0","Black race/color","0"
"Others","1.8571428571428572","0.0","0.5384615384615384","0.3333333333333333",,"3","6","1","false","Alcohol","15.0","5","1","false","1","Alcohol","0"
"Diseases","1.0","0.0","1.0","0.0",,"1","1","0","false","Drug use","12.0","1","0","false","0","Drug use","0"
"Poverty","1.0","0.0","1.0","0.0","1","1","1","0","false","Homelessness","12.0","1","0","false","0","Homelessness","0"
"Socioeconomic","1.0","0.0","1.0","0.0","1","1","1","0","false","Immigrant status","12.0","1","0","false","0","Immigrant status","0"
"Socioeconomic","1.0","0.0","1.0","0.0","1","1","1","0","false","Indigenous identity","12.0","1","0","false","0","Indigenous identity","0"
"Socioeconomic","1.0","0.0","1.0","0.0","1","1","1","0","false","Government assistance beneficiaries","12.0","1","0","false","0","Government assistance beneficiaries","0"
"Infectious diseases","1.0","0.0","1.0","0.0","1","1","1","0","false","BCG vaccination","2.0","1","0","false","0","BCG vaccination","0"
"Infectious diseases","0.0","0.0","0.0","0.0","2","0","2","2","false","LTBI","11.0","0","0","false","0","LTBI","0"
"Infectious diseases","0.0","0.0","0.0","0.0","1","0","1","1","false","Increasing risk of ARI","12.0","0","0","false","0","Increasing risk of ARI","0"
"Infectious diseases","0.0","0.0","0.0","0.0","1","0","1","1","false","Airflow obstruction","21.0","0","0","false","0","Airflow obstruction","0"
"Socioeconomic","1.6666666666666667","0.02024446142093201","0.6","0.0","5","2","6","2","false","Low education","4.5","4","0","false","1","Low education","477"
"Socioeconomic","1.0","0.011501570325099736","1.0","0.0","4","1","4","3","false","Unemployment","2.5","1","0","false","0","Unemployment","271"
"Poverty","0.0","0.0","0.0","0.0","1","0","1","1","false","Poorly paid work","4.0","0","0","false","0","Poorly paid work","0"
"Diseases","0.0","0.0","0.0","0.0","2","0","2","2","false","Psychological distress","11.0","0","0","false","0","Psychological distress","0"
"Socioeconomic","2.5555555555555554","0.0","0.391304347826087","0.0","1","3","1","0","false","Proportion of literacy in neighbourhood","6.0","1","0","false","0","Proportion of literacy in neighbourhood","0"
"Poverty","1.7272727272727273","0.07142857142857142","0.5789473684210527","0.16666666666666666","5","2","6","2","false","Low income","9.25","4","0","false","1","Low income","1683"
"Diseases","1.6666666666666667","0.0","0.6","0.0","1","2","1","0","false","Chronic inflammation","3.0","1","0","false","0","Chronic inflammation","0"
"Diseases","1.0","0.010525422290128173","1.0","0.0","3","1","3","1","false","Cancer","1.3333333333333333","2","0","false","0","Cancer","248"
"Diseases","0.0","0.0","0.0","0.0","1","0","1","1","false","Oxidative stress","21.0","0","0","false","0","Oxidative stress","0"
"Infectious diseases","1.5","0.0","0.6666666666666666","0.0","1","2","1","0","false","Poor mosquito control","9.0","1","0","false","0","Poor mosquito control","0"
"Socioeconomic","1.8333333333333333","0.0","0.5454545454545455","0.0","1","2","1","0","false","Household wealth index","12.0","1","0","false","0","Household wealth index","0"
"Others","1.8333333333333333","0.0","0.5454545454545455","0.0",,"2","1","0","false","Lifetime sexual partners","12.0","1","0","false","0","Lifetime sexual partners","0"
"Diseases","1.8333333333333333","0.0","0.5454545454545455","0.0",,"2","1","0","false","Experiencing all types of IPV","12.0","1","0","false","0","Experiencing all types of IPV","0"
"Poverty","1.9","0.0","0.5263157894736842","0.0",,"3","2","0","false","Social development","11.0","2","0","false","0","Social development","0"
"Others","0.0","0.0","0.0","0.0",,"0","1","1","false","Decreasing ASIR","2.0","0","0","false","0","Decreasing ASIR","0"
"Socioeconomic","1.6666666666666667","0.0","0.6","0.0","1","2","1","0","false","Mother’s education level","27.0","1","0","false","0","Mother’s education level","0"
"Socioeconomic","1.6666666666666667","0.0","0.6","0.0","1","2","1","0","false","Place of residence","27.0","1","0","false","0","Place of residence","0"
"Infectious diseases","1.6666666666666667","0.0","0.6","0.0","1","2","1","0","false","Mosquito net ownership","27.0","1","0","false","0","Mosquito net ownership","0"
"Socioeconomic","1.6666666666666667","0.0","0.6","0.0","1","2","1","0","false","Number of children in the household","27.0","1","0","false","0","Number of children in the household","0"
"Socioeconomic","1.6666666666666667","0.0","0.6","0.0","1","2","1","0","false","Male","27.0","1","0","false","0","Male","0"
"Socioeconomic","1.6666666666666667","0.0","0.6","0.0","1","2","1","0","false","Age 4y+","27.0","1","0","false","0","Age 4y+","0"
"Socioeconomic","1.6666666666666667","0.0","0.6","0.0","1","2","1","0","false","Aging (15-64 years) and Aging (65 years and above)","27.0","1","0","false","0","Aging (15-64 years) and Aging (65 years and above)","0"
"Socioeconomic","1.6666666666666667","0.0","0.6","0.0","1","2","1","0","false","Household does not own a hamlet","27.0","1","0","false","0","Household does not own a hamlet","0"
"Socioeconomic","1.6666666666666667","0.0","0.6","0.0","1","2","1","0","false","Lives > 20 km from an urban area","27.0","1","0","false","0","Lives > 20 km from an urban area","0"
"Others","1.6666666666666667","0.0","0.6","0.0",,"2","1","0","false","Proxy input parameters","27.0","1","0","false","0","Proxy input parameters","0"
"Socioeconomic","1.6666666666666667","0.0","0.6","0.0","1","2","1","0","false","Household size","27.0","1","0","false","0","Household size","0"
"Infectious diseases","1.6666666666666667","0.0","0.6","0.0","1","2","1","0","false","Type of mosquito net","27.0","1","0","false","0","Type of mosquito net","0"
"Infectious diseases","1.5","0.0","0.6666666666666666","0.0","2","2","2","0","false","Fever","14.5","2","0","false","0","Fever","0"
"Diseases","1.6666666666666667","0.0","0.6","0.0","1","2","1","0","false","MHHs","27.0","1","0","false","0","MHHs","0"
"Infectious diseases","1.6666666666666667","0.0","0.6","0.0","1","2","1","0","false","Diarrhea","27.0","1","0","false","0","Diarrhea","0"
"Socioeconomic","1.6666666666666667","0.0","0.6","0.0","1","2","1","0","false","Age > 14","27.0","1","0","false","0","Age > 14","0"
"Socioeconomic","1.6666666666666667","0.0","0.6","0.0","1","2","1","0","false","Household head occupation","27.0","1","0","false","0","Household head occupation","0"
"Socioeconomic","1.6666666666666667","0.0","0.6","0.0","1","2","1","0","false","Household head education","27.0","1","0","false","0","Household head education","0"
"Socioeconomic","1.6666666666666667","0.0","0.6","0.0","1","2","1","0","false","Household wealth tertile","27.0","1","0","false","0","Household wealth tertile","0"
"Infectious diseases","0.0","0.0","0.0","0.0","1","0","1","1","false","Malaria misclassification","27.0","0","0","false","0","Malaria misclassification","0"
"Socioeconomic","2.0","0.0","0.5","0.0","2","3","2","0","false","Mother's education level","2.5","2","0","false","0","Mother's education level","0"
"Poverty","1.6666666666666667","0.011204481792717087","0.6","0.0","2","2","2","1","false","Wealth index","14.5","1","0","false","0","Wealth index","264"
"Climate","1.0","0.0","1.0","0.0","1","1","1","0","false","Temperature deviation > 1","3.0","1","0","false","0","Temperature deviation > 1","0"
"Infectious diseases","0.0","0.0","0.0","0.0","4","0","5","4","false","Visceral Leishmaniasis","4.0","1","0","false","1","Visceral Leishmaniasis","0"
"Climate","1.0","0.0","1.0","0.0","1","1","1","0","false","Increased precipitation","3.0","1","0","false","0","Increased precipitation","0"
"Socioeconomic","1.0","0.0","1.0","0.0","1","1","1","0","false","Age below 25 years","4.0","1","0","false","0","Age below 25 years","0"
"Diseases","0.0","0.0","0.0","0.0","4","0","4","4","false","GPH","2.25","0","0","false","0","GPH","0"
"Diseases","0.0","0.0","0.0","0.0","3","0","3","3","false","GMH","2.3333333333333335","0","0","false","0","GMH","0"
"Socioeconomic","1.0","0.0","1.0","0.0","1","1","1","0","false","Divorced/widowed","3.0","1","0","false","0","Divorced/widowed","0"
"Poverty","1.0","0.0","1.0","0.0","2","1","2","0","false","Food-insecure","3.5","2","0","false","0","Food-insecure","0"
"Diseases","1.0","0.0","1.0","0.0","2","1","2","0","false","Comorbidities","2.5","2","0","false","0","Comorbidities","0"
"Socioeconomic","1.0","0.0","1.0","0.0","1","1","1","0","false","Socio-economic status","2.0","1","0","false","0","Socio-economic status","0"
"Climate","1.5","0.0","0.6666666666666666","0.0","1","2","1","0","false","Temperature and relative humidity","9.0","1","0","false","0","Temperature and relative humidity","0"
"Environmental","1.6666666666666667","0.0","0.6","0.0",,"2","1","0","false","Study site","27.0","1","0","false","0","Study site","0"
"Infectious diseases","2.0","0.0","0.5","0.0","1","3","1","0","false","AIDS","21.0","1","0","false","0","AIDS","0"
"Infectious diseases","0.0","0.0","0.0","0.0","2","0","2","2","false","RDT positivity","1.5","0","0","false","0","RDT positivity","0"
"Infectious diseases","1.0","0.0","1.0","0.0","1","1","1","0","false","Traveling to malaria endemic area outside the village","2.0","1","0","false","0","Traveling to malaria endemic area outside the village","0"
"Infectious diseases","0.0","0.0","0.0","0.0","1","0","1","1","false","MDR-TB negative","4.0","0","0","false","0","MDR-TB negative","0"
"Diseases","0.0","0.0","0.0","0.0","1","0","1","1","false","Wound healing","2.0","0","0","false","0","Wound healing","0"
"Diseases","1.0","0.0","1.0","0.0","1","1","1","0","false","Elevation","3.0","1","0","false","0","Elevation","0"
"Infectious diseases","0.0","0.0","0.0","0.0","3","0","3","3","false","Schistosomiasis","2.6666666666666665","0","0","false","0","Schistosomiasis","0"
"Climate","1.0","0.0","1.0","0.0","1","1","1","0","false","Annual rainfall","3.0","1","0","false","0","Annual rainfall","0"
"Poverty","1.5","0.0","0.6666666666666666","0.0","1","2","1","0","false","Farming being the main source of income","9.0","1","0","false","0","Farming being the main source of income","0"
"Infectious diseases","0.0","0.0","0.0","0.0","3","0","3","3","false","DF cases","2.3333333333333335","0","0","false","0","DF cases","0"
"Environmental","1.0","0.0","1.0","0.0","1","1","1","0","false","Road density","3.0","1","0","false","0","Road density","0"
"Socioeconomic","1.8571428571428572","0.0","0.5384615384615384","0.0","3","3","3","0","false","Population density","5.666666666666667","3","0","false","0","Population density","0"
"Infectious diseases","0.0","0.0","0.0","0.0","1","0","1","1","false","No LTBI","21.0","0","0","false","0","No LTBI","0"
"Infectious diseases","2.0","0.0","0.5","0.0","1","3","1","0","false","Having a spouse with Tuberculosis","21.0","1","0","false","0","Having a spouse with Tuberculosis","0"
"Diseases","1.0","0.00759697818521348","1.0","0.0","3","1","3","2","false","Anemia","1.3333333333333333","1","0","false","0","Anemia","179"
"Diseases","0.0","0.0","0.0","0.0","1","0","1","1","false","Increased mortality","3.0","0","0","false","0","Increased mortality","0"
"Poverty","1.5","0.0","0.6666666666666666","0.0","1","2","1","0","false","Discrimination at job","4.0","1","0","false","0","Discrimination at job","0"
"Socioeconomic","1.5","0.0","0.6666666666666666","0.0","1","2","1","0","false","Injury on the job","4.0","1","0","false","0","Injury on the job","0"
"Socioeconomic","1.9","0.0","0.5263157894736842","0.0","2","3","2","0","false","Occupation","11.0","2","0","false","0","Occupation","0"
"Socioeconomic","0.0","0.0","0.0","0.0","1","0","1","1","false","Student","2.0","0","0","false","0","Student","0"
"Climate","1.5","0.0","0.6666666666666666","0.0","1","2","1","0","false","Minimum yearly temperature","9.0","1","0","false","0","Minimum yearly temperature","0"
"Socioeconomic","1.5","0.0","0.6666666666666666","0.0","1","2","1","0","false","% Mayan population","9.0","1","0","false","0","% Mayan population","0"
"Infectious diseases","2.5555555555555554","0.0","0.391304347826087","0.0","1","3","1","0","false","Enfermedad pulmonar crónica","6.0","1","0","false","0","Enfermedad pulmonar crónica","0"
"Environmental","2.0","0.0","0.5","0.0","1","3","1","0","false","Household exposure to Beijing lineage","21.0","1","0","false","0","Household exposure to Beijing lineage","0"
"Socioeconomic","2.0","0.0","0.5","0.0","1","3","1","0","false","Year of death","21.0","1","0","false","0","Year of death","0"
"Infectious diseases","0.0","0.0","0.0","0.0","1","0","1","1","false","Older PLWH in SA group","6.0","0","0","false","0","Older PLWH in SA group","0"
"Socioeconomic","1.5","0.0","0.6666666666666666","0.0","1","2","1","0","false","Electricity","3.0","1","0","false","0","Electricity","0"
"Diseases","1.0","0.0","1.0","0.0","1","1","1","0","false","Have a psychiatric disorder","2.0","1","0","false","0","Have a psychiatric disorder","0"
"Diseases","0.0","0.0","0.0","0.0","2","0","2","2","false","Anxiety","6.5","0","0","false","0","Anxiety","0"
"Poverty","2.5","0.0","0.4","0.0","1","3","1","0","false","Extreme social inequalities","4.0","1","0","false","0","Extreme social inequalities","0"
"Climate","0.0","0.0","0.0","0.0","1","0","1","1","false","sea level rise","10.0","0","0","false","0","sea level rise","0"
"Climate","0.0","0.0","0.0","0.0","1","0","1","1","false","storms","9.0","0","0","false","0","storms","0"
"Socioeconomic","1.6666666666666667","0.02291825821237586","0.6","0.05","5","2","5","4","false","Vulnerability","3.8","1","0","false","0","Vulnerability","540"
"Climate","0.0","0.0","0.0","0.0","1","0","1","1","false","floods","9.0","0","0","false","0","floods","0"
"Climate","2.5833333333333335","0.0","0.3870967741935484","0.0","1","3","1","0","false","Weather shocks","4.0","1","0","false","0","Weather shocks","0"
"Diseases","0.0","0.0","0.0","0.0","2","0","2","2","false","Obesity","3.5","0","0","false","0","Obesity","0"
"Diseases","0.0","0.0","0.0","0.0","1","0","1","1","false","Weight loss","3.0","0","0","false","0","Weight loss","0"
"Climate","1.0","0.03310415075120957","1.0","0.0","5","1","5","3","false","CO2 emissions","1.5","2","1","false","0","CO2 emissions","780"
"Socioeconomic","1.5","0.018079959256429846","0.6666666666666666","0.0","4","2","5","4","false","Economic growth","5.0","1","2","false","0","Economic growth","426"
"Climate","0.0","0.0","0.0","0.0","1","0","1","1","false","Energy consumption","4.0","0","0","false","0","Energy consumption","0"
"Socioeconomic","2.0","0.0","0.5","0.0",,"3","1","0","false","Trade openness","3.0","1","0","false","0","Trade openness","0"
"Socioeconomic","1.6666666666666667","0.0","0.6","0.0","1","2","1","0","false","Gross capital formation","4.0","1","0","false","0","Gross capital formation","0"
"Socioeconomic","1.6666666666666667","0.0","0.6","0.0","1","2","1","0","false","Foreign direct investment","4.0","1","0","false","0","Foreign direct investment","0"
"Others","2.727272727272727","0.0","0.3666666666666667","0.0",,"4","1","0","false","International tourism","3.0","1","0","false","0","International tourism","0"
"Environmental","2.25","0.0","0.4444444444444444","0.0","1","3","1","0","false","Unequal access to resources","5.0","1","0","false","0","Unequal access to resources","0"
"Socioeconomic","2.25","0.0","0.4444444444444444","0.0","1","3","1","0","false","Societal issues","5.0","1","0","false","0","Societal issues","0"
"Diseases","1.0","0.02622867328749682","1.0","0.08333333333333333","4","1","4","2","false","Damages","4.25","2","0","false","0","Damages","618"
"Poverty","0.0","0.0","0.0","0.0","1","0","1","1","false","Number of emigrants from lowest income quintile","4.0","0","0","false","0","Number of emigrants from lowest income quintile","0"
"Poverty","0.0","0.0","0.0","0.0","1","0","1","1","false","Inequality","4.0","0","0","false","0","Inequality","0"
"Climate","0.0","0.0","0.0","0.0","1","0","1","1","false","regions that oscillate between dry and wet conditions","9.0","0","0","false","0","regions that oscillate between dry and wet conditions","0"
"Others","0.0","0.0","0.0","0.0",,"0","1","1","false","complexity of the area of competence","10.0","0","0","false","0","complexity of the area of competence","0"
"Environmental","1.0","0.0","1.0","0.0","1","1","1","0","false","Deteriorating environment","2.0","1","0","false","0","Deteriorating environment","0"
"Climate","0.0","0.0","0.0","0.0","2","0","2","2","false","Renewable energy consumption","5.0","0","0","false","0","Renewable energy consumption","0"
"Socioeconomic","0.0","0.0","0.0","0.0","1","0","1","1","false","Economic damages","9.0","0","0","false","0","Economic damages","0"
"Climate","3.0384615384615383","0.0","0.32911392405063294","0.0","1","5","1","0","false","Climatic drivers","10.0","1","0","false","0","Climatic drivers","0"
"Socioeconomic","0.0","0.0","0.0","0.0","3","0","3","3","false","Migration","6.0","0","1","false","0","Migration","0"
"Climate","1.0","0.0","1.0","0.0","3","1","3","0","false","Precipitation","1.5","3","1","false","0","Precipitation","0"
"Diseases","0.0","0.0","0.0","0.0","1","0","1","1","false","Conflict number","2.0","0","0","false","0","Conflict number","0"
