,paper_id,data_types,methods
17,10.1038_s41598-021-85781-7,"tuberculosis surveillance data, meteorological data, quarterly GDP data, software usage data","surveillance data, meteorological data, quarterly GDP data, R: A Language and Environment for Statistical Computing"
18,10.1038_s41598-021-91198-z,"survey data, hemoglobin concentration data, travel time data, malaria data, HIV data","data analysis, regression analysis, statistical association"
19,10.1038_s41598-021-94289-z,"HIV prevalence data, R-scripts, literature values, DHS28 data","Compartmental models, Individual-based models (IBMs), Ensemble methods, Mathematical modeling, Simulation"
20,10.1038_s41598-021-95959-8,"individual-level data, survey data, household characteristics, satellite data","GAM, Principal component analysis (PCA), Spearman’s rank-order correlation test, regression spline function, empirical variograms, thin plate regression spline, restricted maximum likelihood (REML) method."
21,10.1038_s41598-021-96035-x,"birthweight data, rainfall data, household socioeconomic status scores, malaria infection data, dietary variables, physical activity level data, triglyceride levels, HDL levels, LDL levels, TC levels","study design, data generation, data management, data analysis, hierarchical modelling, regression analysis, linear regression models"
22,10.1038_s41598-021-99156-5,"daily mortality data, statistical relationships, country-specific data, socio-economic scenario, temperature and rainfall patterns, population data, income data, World Bank projections","ensemble of CMIP5 models, shared socioeconomic pathways (SSP) projections, extrapolation approach used in Gasparrini et al. 2017, model selection, regression analysis, SSP3"
23,10.1038_s41598-022-06012-1,"Remote sensing data, GIS data, Population data, Socioeconomic covariates, Satellite data, Soil data, Water and sanitation data","MODIS/Terra, SoilGrids250m, C3S, WorldPop, LBD, regression analysis (implied)"
24,10.1038_s41598-022-20550-8,"eligibility database, sociodemographic variables, health care utilization database, prescription records, long-term care insurance database, healthcare provider database, national health screening database, anonymized and de-identified data","statistical analysis, data curation, data interpretation, regression analysis, adjusted for variables in model 1 and model 2"
25,10.1038_s41598-024-60119-1,"patient-level data, survival analysis data, pill count data, socio-demographic characteristics data, HIV-related and clinical important variables data","Data extraction checklist, preliminary review, pill count, EpiData-3.3.1, Stata version 17, impuation method using R software, Kaplan Meier survival curve, regression analysis (Cox model), parametric models (Exponential, Weibull, Gamma, Log normal, Loglogistic)."
26,10.1038_s41598-024-67909-7,"socio-demographic data, household ecology data, dengue awareness data, incidence data, monthly income data, source information data, water accumulation spot data, presence of cooler data, number of people in the family data, estimated income data, occupation data, marital status data, education level data, race data, sex data, age data","penalized multivariable logistic regression, ethics approval, data analysis using IBM SPSS Statistics and STATA"
27,10.1038_s41598-024-71720-9,"permanent population data, quantitative data, epidemiological indicators, operational indicators, GDP, PGDP, NHI, NHT, NB, NPR, NPP, NMP, NGP, Y","Factor detection analysis, interaction detection analysis, descriptive statistics, regression analysis"
28,10.1038_s41598-024-78512-1,"household data, survey data, clinical data, demographic data","written informed consent, PCR-based test results, microscopy, rapid diagnostic tests, regression analysis, descriptive statistics."
29,10.1038_s41598-024-82101-7,"interview information, questionnaire data, sociodemographic data, clinical data, psychosocial data, depressive symptoms data, incidence rate data, mortality rate data","interviews, investigator-designed questionnaire, statistical analysis, χ 2 tests, t-tests, Mann–Whitney tests, conditional logistic regression"
30,10.1038_s41598-025-89298-1,"Riskesdas data, Village Survey (Podes) data, household expenditure, occupation, education level, self-reports of chronic diseases, smoking behaviour, alcohol use, physical activity","mixed methods, multi-site case study evaluation, Principal Component Analysis (PCA)"
31,10.1038_s41598-025-91999-6,"sex data, age data, education data, number of people living in the house data, residence place data, number of people who are working data, situation data, occupation data, average time spending out of home data, nights spending in working place data, hours pending out of home for walking data, hours spending in farm for working data, source of water supply data, sewage disposal system data, sleeping under mosquito net data, sleeping out of home data, using insecticide data, using insect replants data, type of windows data, using curtain in front of windows and doors data, material used to construct walls and roofs data, number of rooms data, number of people in bedroom data, distance of river from house data, distance of farms from house data, keeping pets in houses data, animals around the house data, distance of water sources from house data, kind of water supply data","Data collection was performed by a trained health worker and by interviewing, questionnaire consisted of following questions..."
32,10.1038_s41598-025-93476-6,"patient-level data, secondary retrospective data, epidemiological surveillance data, spatial data","conceptualization, methodology, formal analysis, investigation, data curation, writing—original draft preparation, writing—review and editing, supervision, project administration"
33,10.1136_bmj.m3389,"wildlife surveys, livestock surveys, human serological surveys, ecological knowledge, biological data, ecological data, social data, geographic features","study, analysis"
34,10.1136_bmjgh-2019-001729,"birth year data, age data, mothers' educational attainment data, biomarker collection data, microscopy test results","instrumental variable analysis, regression analysis, 2SLS, polynomial function, exploratory analysis, online supplementary figure S2"
35,10.1136_bmjgh-2020-003550,"self-reported data, postcode data, tax year data, study recruitment period data, IMD-2015 data, deciles of deprivation data, QFT-GIT test result data, T-Spot.TB test result data","self-reported data, Interferon-Gamma Release Assay (IGRA), complete case analysis approach, multivariable analysis, regression analysis"
36,10.1136_bmjhci-2024-101179,"self-reported address, Google Location Services data, individual TB test data, NHLS data, population numbers, District Health Barometer data","subdistrict-level error correlation, formal analysis, investigation, data curation, writing—original draft, conceptualisation, methodology, resources, project administration, funding acquisition, supervision."
37,10.1136_bmjopen-2023-071874,"satellite data, patient-level data, survey data, household data, geographic coordinate data, environmental data","multicountry analysis, cross-sectional household survey data, binomial regression analysis, χ2 statistic, country-specific regression analysis, random effect term"
38,10.1136_thoraxjnl-2021-218345,"patient-level data, spirometric results, categorical variables, continuous variables","analysis of variance (ANOVA), Student's t test, χ2 test, logistic regression models, statistical significance testing"
39,10.1172_jci.insight.148271,"HIV data, medical history data, exposure assessment data, demographic data, smoking and alcohol usage data, frequency counts, percentages, interval categorical data, ordinal categorical data, continuous variables, mean, mode, median, range, variance, standard deviation, standard error, coefficient of variation, P values, normally distributed data, ANOVA results, t test results, Tukey's multiple-comparison test results, hormone levels data.","unpaired 2-tailed independent t test, receiver operating characteristic (ROC) curve analysis, biomarker analysis program in Metabo-Analyst software, descriptive analyses, frequency counts and percentages, central tendency and dispersion calculations, outlier identification, ANOVA, 1-way repeated-measures ANOVA, post hoc tests, Tukey's multiple-comparison test"
40,10.1186_s12879-020-04995-8,"patient-level data, epidemiological data, demographic data, survey data, laboratory data","Survey, chi-square test"
41,10.1186_s12879-020-05150-z,"population census data, socio-economic variables, Pearson linear correlation, statistical analysis, descriptive analysis, log-transformed data, health service data, constant proportion transformation model data","Pearson linear correlation, univariate analysis, Bayesian modeling, regression analysis, conditional auto-regression (CAR), exchangeablility, parametric spatio-temporal interactions models with linear and quadratic form of time."
42,10.1186_s12879-020-05304-z,"patient-level data, survey data, anonymized data, raw data","data collection, data analysis, manuscript drafting, manuscript editing, interpretation of results, revision of the report"
43,10.1186_s12879-020-05465-x,"blood samples, patient-level data, symptoms","study design, project implementation, project management, data management, data analysis, logistic regression"
44,10.1186_s12879-020-4800-y,"patient-level data, categorical variables, continuous variables, percentages, means and standard deviations, median and interquartile range, IU/ml, mm, Chi-square test results, ANOVA results, Infectivity Score, Type of Exposure Score, Duration of Contact Score, Duration of Symptoms Score","receiver operating characteristic (ROC) curves, area under curve (AUC), IBM SPSS Software, version 25, R Core Team, 2018, Chi-square test, one-way analysis of variance (ANOVA), Tukey “Honest Significant Difference” method."
45,10.1186_s12879-020-4828-z,"genotyping data, RFLP data, economic data, social risk factor data, education level data, employment status data, income level data, electricity access data, toilet access data, house size data, HIV/ART status data","bivariable analysis, regression analysis"
46,10.1186_s12879-020-4924-0,"survey data, demographic data, HIV prevalence data, enumeration area data","data collection, informed written consent, interviews, partner identifying information, computer-generated random numbers, binary variables, frequencies and percentages, un-adjusted odds ratios, 95% Confidence intervals, likelihood ratio test, logistic regression, STATA statistical software."
47,10.1186_s12879-021-05846-w,"raw data, de-identified dataset, data, data linkage","study conceptualization, investigation, formal analysis, visualization, writing of the original draft, interpretation of the results, revision and editing of the final version of the manuscript, supervision, funding acquisition."
48,10.1186_s12879-021-05967-2,"patient medical charts, sociodemographic characteristics, clinical characteristics, behavioral factors, CD4 cell counts, electronic database system (DHIS II), Microsoft Excel, STATA version 14.0","standardized case report form, patient medical charts abstraction, McNemar chi-square test, conditional logistic regression"
49,10.1186_s12879-021-06284-4,"patient-level data, survey data, questionnaire data","Cronbach's alpha, Chi-square test, binary logistic regression"
50,10.1186_s12879-021-06668-6,"demographic data, laboratory data, clinical information, physical exam data","written informed consent, data collection, statistical design, data analysis"
51,10.1186_s12879-023-08627-9,"COVID-19 data, TB data, leprosy data, demographic data, socioeconomic data, census data, spatial data, shapefiles, geocoordinates","data visualisation, data collection process, spatial analysis, distribution"
52,10.1186_s12879-024-09649-7,"infectious disease reporting system data, smear microscopy diagnosis results, age data, sex data, career data, permanent residence data, current residence data, diagnosis month data","Regression analysis, log-linearized multiplicative spatial interaction models, estimation of coefficient estimates."
53,10.1186_s12879-024-09673-7,"patient-level data, blood glucose results, HIV test results, frequencies, proportions, means, socio-demographic factors, associated variables, intestinal helminths co-infection data, binary logistic regression analysis data, odds ratio, 95% confidence interval data","data collection, EpiData software, SPSS Version 25, descriptive statistics, binary logistic regression analysis, multivariate analyses, back-translation"
54,10.1186_s12879-024-09780-5,"household conditions, WASH facilities exposure to animals, socio-economic characteristics, demographic data, fecal samples, parasitological assessment data, questionnaire data","Microsoft Excel 2010, quality control, Spearman's correlation, Mann-Whitney U test, logistic regression, backward stepwise multiple logistic regression analysis"
55,10.1186_s12879-024-10301-7,"demographic data, survey data, biomarker analysis, clinical data, anthropometric data, biochemical data","stratified two-stage approach, probability proportionate to size within each stratum"
56,10.1186_s12879-025-10586-2,"national system of notifiable diseases data, department of informatics of the unified health system data, institute of geography and statistics data","descriptive analysis, inflection point regression model, joinpoint regression model, time series analysis"
57,10.1186_s12879-025-10945-z,"study data, manuscript, spreadsheet, tables, figures, paper, supplementary information files","cross-referencing, systematic review, data extraction using structured Microsoft Excel spreadsheet, email contact with authors of non-open-access articles"
58,10.1186_s12879-025-11150-8,"Name of the first author, year of publication, year of study, sample size, number of HBV-positive cases, administrative region, study group, screening method, sampling technique, study design, associated factors (multiple sexual partners, a family with chronic liver diseases, exposure to body fluid, tattooing, abortion, HIV, sharp needle injury, HBV vaccination, history of blood transfusion, and condom use)","Excel data extraction, statistical analysis (STATA), data extraction tool updated in 2024, Microsoft Excel sheet, Joanna Briggs Institute data extraction tool, visual inspection of funnel plot, Egger's regression test."
59,10.1186_s12882-020-02082-3,"Genomic DNA, SNP, allele frequencies, genotype frequencies, logistic regression analyses, demographic characteristics (age, sex, BMI), baseline eGFR, duration of HIV infection, protease inhibitor therapy, antiretroviral treatment, serum creatinine, protein, glucose, phosphate, uric acid, creatinine, RBP levels, NAG levels","Jaffe method, ELISA kit, Qubit fluorometer, chi-square test, Fisher's exact test, multivariate logistic regressions, stepwise multivariate analysis, Hardy-Weinberg equilibrium, Wilcoxon rank sum test, Shapiro–Wilk test, student t test, PCR."
60,10.1186_s12884-025-07735-5,"proportions, frequencies, means, standard deviations, categorical variables, continuous and normally distributed variables, Chi-square test results, Students’ t-test results, bivariate analysis results, written informed consent forms.","database development, data management, data checks, chi-square tests, Students' t-test, bivariate analyses, pooled data maintenance, SurveyCTO platform, Stata version 16"
61,10.1186_s12885-020-06891-5,"confidence interval, hazard ratio, odds ratio, relative risk, population attributable fractions, research grant, study protocol registration, literature review, cancer incidence, mortality risk, standardized observation form, Newcastle-Ottawa scale, global health data exchange","literature search, data extraction, quality assessment, statistical analysis"
62,10.1186_s12886-024-03558-8,"patient-level data, survey data, observational data, clinical data, demographic data","clinical eye examination, data processing and analysis, regression analysis, descriptive statistics, bivariable logistic regression analysis, multivariable logistic regression analysis"
63,10.1186_s12889-019-7997-1,"patient-level data, survey data, demographic data, HIV information sources data, employment data, income data, education level data","data collection, bivariate analysis"
64,10.1186_s12889-019-8036-y,"patient-level data, census data, American Community Survey data, surveillance data","negative binomial regression models, multivariable models, log link, statistical significance tests, SAS version 9.4"
65,10.1186_s12889-020-08656-y,"blood samples, DNA, sequences, ELISA results, questionnaire data, socio-demographic characteristics, household income, mosquito data","ELISA assay, logistic regression, multivariable analysis, polymerase chain reaction-based detection assay, sequencing, statistical analysis (using SPSS), statistical package version 21.0"
66,10.1186_s12889-020-08838-8,"PubMed, Google Scholar, Web of Science, Popline, Embase, WHOLIS database, reference lists from articles, grey literature, MeSH-terms, tables.","electronic search, manual search, inspection of reference lists, separate searches including country names"
67,10.1186_s12889-020-08841-z,"anonymized retrospective data, routine collected data, national standardized monitoring tools data, TB register data, paper based registers data","retrospective data analysis, descriptive analysis, Chi squared tests"
68,10.1186_s12889-020-08952-7,"plasma viral loads, PCR, antibody tests, sociodemographic variables, questionnaire data, screening test results, blood sample data, demographic characteristics, laboratory inspection data","Data collection, laboratory inspection, interview questionnaire design, statistical analysis using EpiData and SPSS software, descriptive statistics, Pearson χ2 test or Fisher's exact test, crude odds ratios calculation, stepwise logistic regression, adjusted odds ratios calculation."
69,10.1186_s12889-020-09090-w,"Demographic characteristics, clinical information, baseline data, pilot-tested structured questionnaire data, household-level information, accessibility to screening program data","interviews with participants, verbal informed consent from each household member, face-to-face interviews by trained researchers using questionnaire, data collection during visits to households."
70,10.1186_s12889-020-09121-6,"household enumeration, GPS coordinates, patient-level data, survey data","field research, part of the analyses, laboratory tests, technical support to the study"
71,10.1186_s12889-020-09150-1,"audio-recordings, transcripts, excel spreadsheets","manual coding, inductive thematic analysis, qualitative training for research staff, informed consent, audio-recording, transcription, translation into English"
72,10.1186_s12889-020-09191-6,"survey data, demographic data","Binary logistic regression, statistical analysis, weighted analyses using NFFHS-4 provided sampling weights, cross-sectional survey."
73,10.1186_s12889-020-09252-w,"household data, questionnaire data, capillary blood sample data, statistical analysis data, survey data","fieldwork, survey, descriptive analyses, T-test, ANOVA, Chi square test, multivariable analysis, regression analysis, statistical analysis, written consent, ethical clearance."
74,10.1186_s12889-020-09278-0,"survey data, de-identified data, demographic data, anthropometric data, HIV data, spatial data","factor analysis, data cleaning, sample weight variable for HIV status, regression analysis (implied by the use of summary statistics)"
75,10.1186_s12889-020-8426-1,"routine HIV care and treatment data, deidentified dataset, individual level data, categorical variables, counts, percentages, median, interquartile range, logistic regression analysis data.","data collection, data management, analysis, results writeup"
76,10.1186_s12889-021-12100-0,"Secondary source of data, self-report data, anonymous blood specimen collection and analysis data, lifetime sexual partners data, recent sexual activity data, age data, children alive data, educational status data, wealth index data, access to electricity and television data, caste data, religion data, place of residence data.","bivariate analysis, logistic regression analysis"
77,10.1186_s12889-023-15873-8,"GNI per capita data, DALY rates, age-standardized data, concentration curve data, World Bank classification datasets","logarithmic transformation, regression analysis, permutation tests for joinpoint regression"
78,10.1186_s12889-024-18903-1,"wealth index, binary categorical data, educational variables, engagement in paid work, age, sex, orphanhood status, HIV status","Principal Component Analysis (PCA), standardisation using means option in Stata, quintile categorisation, reproducible pipeline in R, survey design, three-stage sampling."
79,10.1186_s12889-024-19206-1,"patient-level data, survey data, parasitological test results","weighted datasets, data merging, cross-sectional data"
80,10.1186_s12889-024-19758-2,"individual datasets, HIV dataset, survey data, anthropometric information, anemia data","data management, statistical analysis, data extraction, appending, re-coding, frequency, percentage, text, tables, logistic regression, descriptive statistics"
81,10.1186_s12889-024-20664-w,"incidence data, prevalence data, mortality data, DALYs, ASRs, database data, image data","data visualization, regression analysis, Pearson correlation analysis"
82,10.1186_s12889-024-20666-8,"personal data, demographic information, medical information, frequencies","semi-structured questionnaire, data collection via questionnaires, JASP version 0.18, descriptive statistics, frequencies, statistical analysis, regression models, logistic regression models"
83,10.1186_s12889-025-22211-7,"household survey data, descriptive analysis data, explanatory analysis data, regression model data","Descriptive analysis, explanatory analysis, regression model, Multiple Component Analysis (MCA)"
84,10.1186_s12889-025-23121-4,"population data, statistical analysis, R software, annual incidence rate, GBD 2021 database, Global Health Data Exchange (GHDx) query tool, DALYs, mortality rate, risk factor data","Statistical analyses, R 4.2.0 software, Global Health Data Exchange (GHDx) query tool, visualization"
85,10.1186_s12903-025-05993-5,"demographic data, categorical data, continuous variables, frequency counts, percentages, mean, standard deviation, chi-square test, Fisher's exact test, univariate and multivariate logistic regression, p-values","univariate and multivariate logistic regression, chi-square test, Fisher's exact test, likelihood ratio test, backward elimination"
86,10.1186_s12913-020-05102-y,"patient-level data, survey data, demographic data, household data, categorical data, numerical data","Exploratory analysis, one-way tabulations, cross-tabulation, Chi-Square test, random-effects logistic regression model"
87,10.1186_s12913-020-05284-5,"patient-level data, survey data, spreadsheet data","Study selection, screening by titles and abstracts, reading full texts, exclusion based on inclusion criteria, random effect model meta-analysis"
88,10.1186_s12913-025-12648-2,"household data, individual health status data, healthcare costs data, climate risk index data, urban statistical data, daily observational data, micro-level data","instrumental variable regression, regression analysis"
89,10.1186_s12936-020-03423-1,"RDT data, patient-level data, survey data, ecological data","morphological identification, metadata analysis, personal communication, regression analysis, linear mixed effects modeling, correlation assessments."
90,10.1186_s12936-020-03443-x,"PCR data, microscopy data, GIS data, socio-economic survey data, mosquito counts, blood slide data, filter paper samples data","cone bioassay, QGIS Geographic Information System, principal component analysis, t-test, Chi-squared tests, Poisson regression models, PCR, microscope slides reading."
91,10.1186_s12936-020-03540-x,"household information, surveillance data, socioeconomic characteristics, annual income, standardized score, API data, GPS data","chi-square test, univariate logistic regression, multivariate analyses, logistic regression with backward elimination (Wald) method, principal components analysis (PCA), regression analysis"
92,10.1186_s12936-020-3103-5,"Demographic and health survey data, surveillance data, operational plan data, World Bank data","analysis, proxy indicator use, disease modeling, health care utilisation due to fever"
93,10.1186_s12936-020-3104-4,"citation, year of publication, sample that was studied, sample size, study design, adherence rate to chemoprophylaxis, predictors of actual or intended adherence, self-reported reasons for actual or intended adherence, quality assessment grade, p values","Data extraction, quality assessment using a simplified version of the Delphi list"
94,10.1186_s12936-021-03840-w,"survey data, binary variable, socio-economic status data, demographic data, household conditions data","multi-stage cluster sampling, Computer-Assisted Personal Interview (CAPI) techniques, binary variable coding"
95,10.1186_s12936-021-03926-5,"geospatial data, survey data, numeric data, socio-economic status factor score data, entomological inoculation rate data, presence/absence data of anopheline larvae","Microsoft Access, QGIS Geographic Information System, Principal component analysis (PCA), Enzyme-linked immunosorbent assay, PCR, Random effect for study child ID number, Statistical analysis in Stata 15."
96,10.1186_s12936-021-03948-z,"survey data, anonymized and untraceable data, demographic data, health data, nutrition data, recognized malaria indicators, haemoglobin concentrations data","fixed-effect analysis, econometric modelling approach"
97,10.1186_s12936-021-03982-x,"electronic data capture tools, DNA extract, PCR amplifications, antibody assays, survey data, laboratory work","standardized procedures, data acquisition using Luminex MAGPIX and xPONENT software, REDCap electronic data capture tools, Stata software, complete-case approach, survey design, cross-sectional study, laboratory work, DNA extractions, PCR amplifications, antibody assays"
98,10.1186_s12936-023-04628-w,"satellite data, clinical guidelines, research electronic data capture (REDCap) data, metadata-driven methodology and workflow process data, land surface reflectance product data, GIS data, individual- and household-level information, house construction information, malaria prevalence data, aggregated data, deidentified individual data","conceptualization, methodology, analysis, writing, review/editing, data curation, investigation, resources"
99,10.1186_s12936-023-04756-3,"secondary data, cluster data, household data, demographic data, health indicators, survey data","Descriptive analysis, multivariable modeling, survey design estimation command (svy) in Stata 15.0, mixed-effects multilevel analysis, computing the intra-class correlation (ICC)."
100,10.1186_s12936-024-04939-6,"household data, GPS coordinates, demographic data, socio-economic data, patient-level data, survey data","Equal probability systematic sampling, computer-assisted personal interviewing (CAPI)"
101,10.1186_s12936-024-04965-4,"sociodemographic data, questionnaire data, written consent data, fever data, thermometer data, auxiliary body temperature data, structured data, study participant data, slide results data, house structure data, roof material data, floor material data, visible hole data on wall data, IRS spraying data, LLINs ownership data, mosquito breeding site data, sex data, age data, fever data","data collection, data entry, descriptive statistics, bivariate logistic regression analysis, multivariate logistic regression analysis, fever measurement using thermometers"
102,10.1186_s12936-024-04997-w,"survey data, household wealth index scores, educational attainment data","Stata 18.0, t-tests, chi-square analyses, frequency and descriptive statistics computation."
103,10.1186_s12936-024-05038-2,"medical records data, questionnaire data","random sampling, data abstraction, multivariable logistic regression, statistical analysis"
104,10.1186_s12936-024-05120-9,"patient-level data, survey data, frequency data, percentage distribution data, mean with standard deviations, categorical data","Focus group discussions (FGDs), in-depth interviews (IDIs), coding, thematic framework, logistic regression model, Pearson's chi-square tests, bivariate and multivariate logistic regression analyses, descriptive statistical analyses."
105,10.1186_s12936-024-05185-6,"paper-based questionnaire data, demographic data, sociodemographic factors data, housing characteristics data, clinical symptoms data, malaria preventive measures data, frequencies and percentages data, median (interquartile range) data, categorical age group data","well-structured questionnaire, univariate logistic regression analysis, multivariate analysis, statistical analysis, STATA 14, data coding, data presentation as frequencies and percentages"
106,10.1186_s12936-024-05228-y,"patient-level data, medical records data, meteorological data, socio-demographic data, socio-economic data, behavioral characteristics data, knowledge data, attitude data, practice data, key informant interviews data, structured face-to-face interview questionnaire data","double-checking process, descriptive statistics (percentage, proportions, and mean), bivariate correlation analysis, logistic regression models, multiple linear regression model, statistical analysis using Statistical Package for Social Sciences (SPSS) software version 26."
107,10.1186_s12936-024-05238-w,"demographic data, household data, questionnaire data, laboratory data","questionnaire survey, principal components analysis (PCA), counts, percentages"
108,10.1186_s12936-025-05244-6,"patient-level data, self-reported data, numerical data","Data collection, Rapid Diagnostic Tests (RDT), self-reported diagnoses, cross-verification using ANC booklets, Chi-square tests, logistic regression, verification process for data entry."
109,10.1186_s12936-025-05289-7,"household-level data, individual-level data, demographic data, geographic data, economic data, survey data","Generalized Linear Mixed Models (GLMM), multiple imputation by chained equations (FCS), linear regression, logistic regression"
110,10.1186_s12936-025-05313-w,"Demographic and Health Surveys (DHS) Program data, shape files, hemoglobin count data, database data, survey variables","Data Curation, Visualization, Data Analysis, Methodology, Software, Global Spatial Autocorrelation coefficient Moran's I value, variance inflation factor (VIF), Jarque–Bera Statistics, Koenker (BP) Statistics, Ordinary Least Squares (OLS), Geographically Weighted Regression (GWR), Corrected Akaike Information Criterion (AICc)."
111,10.1186_s12936-025-05340-7,"malaria rapid diagnostic test (RDT) results, GPS coordinates, household listings","computer-assisted personal interviewing (CAPI), systematic sampling technique, equal probability sampling, logistic regression analyses, descriptive statistics, bivariate analyses, multivariate analyses, backward selection approach."
112,10.1186_s12940-025-01180-9,"Gross Domestic Product (GDP) data, population data, Monte Carlo simulation data, satellite data, patient-level data","regression analysis, partial dependence plots"
113,10.1186_s12954-019-0340-4,"population data, funding information, author details","OST, medical practice, literature review"
114,10.1186_s12955-021-01702-2,"patient-level data, socioeconomic variables, household characteristics, body mass index (BMI) data, PROMIS Global T-score values, descriptive statistics, binary logistic regression analysis results","descriptive statistics, binary logistic regression analysis, principal component analysis, stepwise backward Wald multivariate linear regression model"
115,10.1186_s12981-022-00498-5,"demographic variables, dataset, questionnaire, survey data","conducted the analysis, data analysis, assessed the quality, reviewed the manuscript, ensured data quality"
116,10.1186_s12981-025-00745-5,"GBD database, surveys, vital statistics, censuses, risk factors, health outcomes, Socio-Demographic Index (SDI) values","decomposition analysis, age-period-cohort (APC) web tool, Joinpoint regression program"
117,10.1186_s12992-022-00855-z,"GDP, Education, Good governance, Globalization, HIV prevalence rate, Physicians' rate, Infant and child mortality rates, Public health expenditure","Regression analysis, descriptive statistics, Granger causality testing, heteroscedasticity testing"
118,10.1186_s13011-020-00301-6,"study setting, sample size, number of events, odds ratio (OR) with 95% confidence intervals (CI), first author last name, year of publication, study setting, sample size, prevalence of alcohol use disorder, tool used for assessment, associated factors","systematic review, meta-analysis, data extraction, quality assessment using the modified Newcastle-Ottawa scale (NOS), standardized data extraction form, independent review of studies by multiple authors."
