,paper_id,cause,effect,description,effect_polarity,edge_label
23,10.1038_s41598-021-85781-7,Mean temperature,Tuberculosis,The posterior means of the regression coefficients are − 0.045 and the relative risks reduce by 4.4% (95% CI 3.1–5.8%) when the variable increases by one unit.,Negative,reduces_tuberculosis
24,10.1038_s41598-021-85781-7,Mean air pressure,Tuberculosis,The posterior means of the regression coefficients are − 0.268 and the relative risks reduce by 23.3% (95% CI 12.5–33.6%) when the variable increases by one unit.,Negative,reduces_tuberculosis
25,10.1038_s41598-021-94289-z,Lower promiscuity from 1980 onwards,HIV,Changing the weight for the number of relationships a person already has was changed from 0 to − 0.05.,Negative,intervenes_to_reduce_hiv_incidence
26,10.1038_s41598-021-94289-z,The proportion of male pending short links that are fulfilled by females,HIV,The proportion of male pending short links that are fulfilled by females was changed from 1 to 0.7.,Negative,intervenes_to_reduce_hiv_incidence
27,10.1038_s41598-021-95959-8,SES,Malaria,The SES had a linear relationship and therefore was modelled using a simple parametric term.,Positive,influences_malaria_infection
28,10.1038_s41598-021-95959-8,Age,Malaria,"u, with basis function following a Gaussian process.",Unknown,influences_malaria_infection
29,10.1038_s41598-021-95959-8,Vegetation density,Malaria,v(NDVI i) + w (Li),Positive,influences_malaria_infection
30,10.1038_s41598-021-96035-x,SES,Lower total cholesterol,"Middle − 0.01 (− 0.15, 0.13) − 0.04 (− 0.19, − 0.11)",Negative,low_household_ses_lower_total_cholesterol
31,10.1038_s41598-021-96035-x,SES,Higher total cholesterol,"High 0.14 (− 0.01, 0.30) 0.10 (− 0.05, 0.26)",Positive,high_household_ses_higher_total_cholesterol
32,10.1038_s41598-021-96035-x,Marital status,Lower total cholesterol,"− 0.39 (− 0.65, − 0.12) − 0.32 (− 0.61, − 0.04)",Negative,single_marital_status_lower_total_cholesterol
33,10.1038_s41598-021-96035-x,Marital status,Lower total cholesterol,"− 0.30 (− 0.52, − 0.08) − 0.26 (− 0.50, 0.02)",Negative,other_marital_status_lower_total_cholesterol
34,10.1038_s41598-021-96035-x,Maternal age group (14–19),Higher total cholesterol,Reference,Unknown,maternal_age_group_higher_total_cholesterol
35,10.1038_s41598-021-99156-5,Climate change,Mortality,"Climate change is expected to affect mortality through a number of other, more indirect pathways.",Negative,affects_mortality
36,10.1038_s41598-022-06012-1,Sanitation and water,None of the socioeconomic variables were picked during the geostatistical variable selection process,"probable loss of variability as a result of household data aggregation for community analysis; insufficient coverage of water and sanitation resource facilities; Lack of standard and better water, sanitation and hygiene assessment tool leading to information bias; latrine efficiency in containing excreta",Unknown,sanitation_facilities_impact_variable_selection
37,10.1038_s41598-024-67909-7,Dengue,Dengue control strategies,These factors are crucial for crafting effective dengue control strategies.,Positive,crafts_control_strategies
39,10.1038_s41598-024-82101-7,Not receiving antiretroviral treatment,Completed suicide,Not receiving antiretroviral treatment was a significant predictor of completed suicide.,Negative,not_receiving_antiretroviral_treatment_leads_to_completed_suicide
40,10.1038_s41598-024-82101-7,Emotional stress,Hopelessness,High levels of hopelessness were associated with higher emotional stress.,Both,associated_with
41,10.1038_s41598-024-82101-7,HIV,Suicide,HIV infection was a cause of death by suicide.,Positive,is_a_cause_of
42,10.1038_s41598-024-82101-7,Fear of discrimination,Suicide,Fear of discrimination was a cause of death by suicide.,Positive,is_a_cause_of
43,10.1038_s41598-025-93476-6,Pregnant,Unfavorable outcomes,Pregnancy increases unfavorable outcomes for DM-TB comorbidity.,Positive,increases_unfavorable_outcomes
44,10.1038_s41598-025-93476-6,Male sex,Unfavorable outcomes,Male sex is associated with unfavorable outcomes for DM-TB comorbidity.,Positive,associated_with_unfavorable_outcomes
45,10.1038_s41598-025-93476-6,Black race/color,Unfavorable outcomes,Black race/color is associated with unfavorable outcomes for DM-TB comorbidity.,Positive,associated_with_unfavorable_outcomes
46,10.1038_s41598-025-93476-6,Tuberculosis,Unfavorable outcomes,TB relapse increases unfavorable outcomes for DM-TB comorbidity.,Positive,increases_unfavorable_outcomes
47,10.1038_s41598-025-93476-6,HIV,Unfavorable outcomes,HIV-positive status is associated with unfavorable outcomes for DM-TB comorbidity.,Positive,associated_with_unfavorable_outcomes
48,10.1038_s41598-025-93476-6,Alcohol,Unfavorable outcomes,Alcoholism increases unfavorable outcomes for DM-TB comorbidity.,Positive,increases_unfavorable_outcomes
49,10.1038_s41598-025-93476-6,Drug use,Unfavorable outcomes,Illicit drug use increases unfavorable outcomes for DM-TB comorbidity.,Positive,increases_unfavorable_outcomes
50,10.1038_s41598-025-93476-6,Smoking,Unfavorable outcomes,Smoking is associated with unfavorable outcomes for DM-TB comorbidity.,Positive,associated_with_unfavorable_outcomes
51,10.1038_s41598-025-93476-6,Homelessness,Unfavorable outcomes,Homelessness increases unfavorable outcomes for DM-TB comorbidity.,Positive,increases_unfavorable_outcomes
52,10.1038_s41598-025-93476-6,Immigrant status,Unfavorable outcomes,Immigrant status is associated with unfavorable outcomes for DM-TB comorbidity.,Positive,associated_with_unfavorable_outcomes
53,10.1038_s41598-025-93476-6,Indigenous identity,Unfavorable outcomes,Indigenous identity increases unfavorable outcomes for DM-TB comorbidity.,Positive,increases_unfavorable_outcomes
54,10.1038_s41598-025-93476-6,Government assistance beneficiaries,Unfavorable outcomes,Government assistance beneficiaries are associated with unfavorable outcomes for DM-TB comorbidity.,Positive,associated_with_unfavorable_outcomes
55,10.1136_bmjgh-2020-003550,BCG vaccination,LTBI,No evidence of association between BCG vaccination and LTBI.,Unknown,has_no_association_with
56,10.1136_bmjgh-2020-003550,Tuberculosis,LTBI,Higher odds of LTBI among individuals with recent TB contact.,Positive,increases
57,10.1136_bmjhci-2024-101179,Number of total screens (dashboard),Number of positive screens (dashboard),The intervention increases the number of positive screens.,Positive,intervention_increases_positive_screens
58,10.1136_bmjhci-2024-101179,Number of tests (NHLS),Number of positive tests (NHLS),The intervention increases the number of positive tests.,Positive,intervention_increases_positive_tests
59,10.1136_bmjopen-2023-071874,HIV,Increasing risk of ARI,HIV infection is the underlying cause of increasing risk of ARI.,Negative,increases_risk_of_ari
60,10.1136_thoraxjnl-2021-218345,Tuberculosis,Airflow obstruction,Participants gave informed consent to participate in the study before taking part.,Positive,takes_part_in_leads_to_airflow_obstruction
63,10.1186_s12879-020-05304-z,Tuberculosis,Tuberculosis,Several TB outbreaks among students have been recently reported.,Positive,leads_to
66,10.1186_s12879-020-4828-z,Poverty,Tuberculosis,Degrees of poverty within low socio-economic setting may contribute to increased TB transmission.,Positive,contributes_to
67,10.1186_s12879-020-4924-0,Residing in a high HIV prevalence stratum,Being part of an HIV infected couple,Residing in a high HIV prevalence stratum was significantly associated with being part of an HIV infected couple.,Positive,hiv_prevalence_stratum_associated_with_hiv_infection
68,10.1186_s12879-021-05967-2,Low education,Unemployment,Low education levels are associated with unemployment...,Negative,low_education_leads_to_unemployment
69,10.1186_s12879-021-05967-2,Low education,Poorly paid work,Lower education levels are associated with poorly paid work...,Negative,lower_edu_leads_to_poor_pay
71,10.1186_s12879-021-06284-4,Tuberculosis,Psychological distress,TB patients' treatment can lead to psychological distress.,Negative,promotes_distress
74,10.1186_s12879-021-06668-6,Low education,HIV,Having no/some primary education increased the risk for HIV and syphilis co-infection.,Positive,increases_risk
75,10.1186_s12879-021-06668-6,Alcohol,HIV,Alcohol consumption also increased the risk for HIV and syphilis co-infection.,Positive,increases_risk
77,10.1186_s12879-023-08627-9,Tuberculosis,COVID-19,A higher TB rate had a significant positive effect on COVID-19 incidence.,Positive,tb_rate_accelerates_covid_19
78,10.1186_s12879-023-08627-9,Proportion of literacy in neighbourhood,COVID-19,A higher proportion of literacy in the neighbourhood had a significant positive effect on COVID-19 incidence.,Positive,literacy_increases_covid_19
79,10.1186_s12879-023-08627-9,Low income,COVID-19,A lower proportion of low monthly income (< minimum wage) had a significant negative effect on COVID-19 incidence.,Negative,low_income_decreases_covid_19
80,10.1186_s12879-023-08627-9,Age,COVID-19,A higher age (≥ 65 years) had a significant negative effect on COVID-19 incidence.,Negative,age_increases_decreases_covid_19
81,10.1186_s12879-023-08627-9,COVID-19,Tuberculosis,A higher COVID-19 rate had a significant positive effect on TB incidence.,Positive,covid_rate_accelerates_tb
83,10.1186_s12885-020-06891-5,Chronic inflammation,Cancer,Tumour-promoting responses and seeds neoplastic microenvironments caused by chronic inflammation.,Positive,causes_tumour_promotion
84,10.1186_s12885-020-06891-5,Tuberculosis,Oxidative stress,Tuberculosis infection leads to genome alteration with DNA damage.,Negative,leads_to_DNA_damage
85,10.1186_s12889-019-7997-1,Employment,Employment,Having a paid employment correlates with having a higher level of HIV knowledge and correct answers.,Positive,correlates_with_hiv_knowledge
87,10.1186_s12889-020-08656-y,Age,Dengue,Age was found to be a significant risk factor for DENV infection.,Positive,increases_dengue_fever_infection
88,10.1186_s12889-020-08656-y,Low income,Dengue,The final results using logistic regression indicated that low income was significantly associated with DENV infection.,Negative,negatively_affects_dengue_fever_prevention
89,10.1186_s12889-020-08656-y,Poor mosquito control,Dengue,The final results using logistic regression indicated that poor mosquito control was significantly associated with DENV infection.,Positive,increases_dengue_fever_infection
90,10.1186_s12889-020-08838-8,many FBWs have children who are partially or fully dependent upon them,Children dependency,Many FBWs raise these children alone without financial support from the fathers.,Negative,rises_to_alone_dependency
92,10.1186_s12889-020-08952-7,Having multiple sexual partners,Syphilis,Many young individuals... were more likely to search jobs outside and were not able to participate in the study.,Negative,does_not_participate_in_study
93,10.1186_s12889-020-08952-7,Ever using injection drugs,Syphilis,"History of drug abuse and other high-risk behaviors relied on self-reporting without further verification, which might result in a misclassification bias for the estimation of associations between study factors and T. pallidum infection.",Negative,misclassifies_associations
94,10.1186_s12889-020-09121-6,Started offering ART in the area via mobile clinics,Other strategies implemented after the survey,Scaled up Assisted Partner Notification,‘Moon Light HIV’,HIV cascade of care indicators (90 – 90-90 targets) being achieved
97,10.1186_s12889-020-09150-1,Obligation,Taking care of family member,"However, it seemed that this feeling of taking care of their family member who was diagnosed with TB, was more out of a sense of obligation.",Positive,takes_care_of_family_member
98,10.1186_s12889-020-09278-0,Household wealth index,HIV,"Programs and interventions focusing on control of HIV/AIDS should focus on widowed, divorced and separated individuals as well as promoting appropriate prevention strategies such as condom use, use of post/pre-exposure prophylaxis and abstinence from sexual activities to prevent contracting HIV or other sexually transmitted infections (STIs).",Positive,focuses_on_control
99,10.1186_s12889-020-09278-0,Lifetime sexual partners,HIV,Our results also confirmed a significant positive association between the number of lifetime sexual partners and increased chances of HIV infection. Lifetime sexual partners reported may be a proxy for sexual behavior and lifetime sexual history.,Positive,increases_hiv_risk
100,10.1186_s12889-020-8426-1,Low CD4,Higher risk of LTFU,Patients with low CD4 between 0 and 250 cells/μl at enrolment were at a higher risk of LTFU in our study.,Negative,lftu_risk
101,10.1186_s12889-020-8426-1,"Delaies in diagnosis, enrolment into HIV care, and initiation of ART",Low CD4,This data is similar to data published from several parts of SSA [38–41].,Positive,low_cd4_count
102,10.1186_s12889-021-12100-0,Experiencing all types of IPV,HIV,Experiencing all types of IPV increases HIV infection.,Negative,intimate_partner_violence_hiv_infection
103,10.1186_s12889-021-12100-0,Alcohol,HIV,Having an alcoholic husband is associated with HIV infection.,Unknown,having_alcoholic_husband_hiv_infection
104,10.1186_s12889-024-19206-1,MIS utilization,Comprehensive analysis,The utilization of large-scale datasets from MIS ensures a comprehensive analysis.,Positive,utilizes_mis_for_analysis
105,10.1186_s12889-024-19206-1,Multiple associated factors,More nuanced understanding,The inclusion of multiple associated factors allows for a more nuanced understanding of the complex determinants influencing malaria positivity in these nations.,Positive,provides_more_nuanced_understanding
106,10.1186_s12889-024-20664-w,Social development,Decreasing ASIR,All SDI countries showed a declining trend in ASIR.,Negative,declines_asir
107,10.1186_s12889-024-20664-w,Social development,Tuberculosis,"According to previous research records, the level of social development is an important factor affecting the incidence,",Unknown,is_relevant_to
110,10.1186_s12889-025-22211-7,Mother’s education level,Malaria,We used a regression model using SPSS 21 software under Windows.,Positive,explains_malaria_status
111,10.1186_s12889-025-22211-7,Place of residence,Malaria,The aim of this study is to help identify the factors that determine malaria status in Niger.,Unknown,is_relevant_to
112,10.1186_s12889-025-22211-7,Mosquito net ownership,Malaria,"In our study, we have the following independent variables:...",Negative,reduces_malaria_risk
113,10.1186_s12889-025-22211-7,Number of children in the household,Malaria,We also used Multiple Component Analysis (MCA) to establish the profile of children who are active.,Positive,influences_malaria_status
114,10.1186_s12889-025-22211-7,Age,Malaria,"In our study, we have the following independent variables:...",Unknown,is_relevant_to
115,10.1186_s12913-020-05284-5,Year of study,Health care seeking behavior from Health Facilities,The year of study did not have a significant effect on health care seeking behavior.,Negative,year_of_study_no_effect_on_health_care_seeking_behavior
116,10.1186_s12913-020-05284-5,Sample size,Not seeking health care from any sources,A larger sample size was associated with an increase in not seeking health care from any sources.,Positive,sample_size_increases_not_seeking_health_care
117,10.1186_s12936-020-03423-1,Male,Malaria,"If an individual is male, it increases their chances of getting malaria.",Positive,male_increases_malaria
118,10.1186_s12936-020-03423-1,Age 4y+,Malaria,The age group 4 years and above has a higher risk of contracting malaria.,Positive,affects_malaria_risk
119,10.1186_s12936-020-03423-1,Aging (15-64 years) and Aging (65 years and above),Malaria,Older individuals have a greater likelihood of getting infected with malaria.,Positive,affects_malaria_risk
120,10.1186_s12936-020-03423-1,Household does not own a hamlet,Malaria,Living in a household that does not own a hamlet has a protective effect against malaria.,Negative,protects_against_malaria
121,10.1186_s12936-020-03423-1,Lives > 20 km from an urban area,Malaria,Residing more than 20 kilometers away from an urban area reduces the risk of getting malaria.,Positive,reduces_risk
122,10.1186_s12936-020-03443-x,Lowest SES quintile,Increased ITN use,Only 82.6% of children in the lowest quintile (most poor) were reported to use an ITN the previous night.,Positive,increases_itn_use
123,10.1186_s12936-020-03443-x,Wealth quintiles,Malaria negative,The finding that the least poor children have a higher P. falciparum infection risk is not explained by a greater number of passively detected infections in these children.,Negative,reduces_infection_rate
124,10.1186_s12936-020-3103-5,Proxy input parameters,Malaria,The percentage who sought treatment for fever in the past 2 weeks was used as a proxy indicator for seeking malaria care. This might have overestimated malaria cases as there are other causes of fever among individuals (besides malaria).,Negative,overestimates_malaria_cases
125,10.1186_s12936-020-3103-5,LLIN interventions,Would eliminate private health expenditures,"The four interventions would eliminate about $4,627,800 of private health expenditures, and the poorest income quintiles would see the greatest FRP benefits.",Positive,eliminates_private_health_expenditures
126,10.1186_s12936-020-3103-5,Malaria vaccine,Would prevent 2% of malaria-related child deaths,Only 2% of malaria-related child deaths would be prevented from the vaccine in this study.,Negative,prevents_child_deaths
127,10.1186_s12936-021-03948-z,Malaria,Anaemia,Acute and repeated malaria infections over time have a detrimental effect on haemoglobin levels.,Negative,cases_malaria_anemia
128,10.1186_s12936-021-03948-z,Malaria,Anaemia,The results from the predictions indicate a 92.5% prevalence of anaemia among malaria positive children.,Positive,predicts_anaemia
129,10.1186_s12936-023-04756-3,Sex of child,Lower odds of under-five malaria infection,associated with slightly lower odds of under-five malaria infection (AOR = 0.98; 95% CI 0.97–0.99).,Positive,sex_of_child_malaria_infection
130,10.1186_s12936-024-04939-6,Household size,Malaria,Addressing these underlying socio-economic determinants is essential for developing holistic malaria control strategies.,Positive,address_mosquito_breeding
131,10.1186_s12936-024-04939-6,Type of mosquito net,Malaria,The correlation between household size and malaria risk underscores the broader implications of socio-demographic factors in shaping malaria transmission dynamics within communities.,Both,makes_malaria_status
132,10.1186_s12936-024-04965-4,Age,Malaria,Individuals who's aged < 5 was 86% more likely to have Plasmodium infection.,Negative,decreases_mosquito_infection
133,10.1186_s12936-024-04965-4,Fever,Malaria,Fever during survey time was associated with a decreased risk of Plasmodium infection.,Positive,increases_resistance_to_malaria
134,10.1186_s12936-024-04997-w,MHHs,Malaria,FHHs may demonstrate more effective malaria prevention measures than MHHs.,Positive,more_effective_malaria_prevention
136,10.1186_s12936-024-05185-6,Diarrhea,Malaria,Yes 1.21 (0.87–1.68) 0.269,Unknown,diarrhea_malaria_infection
137,10.1186_s12936-024-05228-y,Torn ITNs,Lose potency,Torn ITNs might not be protective against mosquitoes anymore.,Negative,loses_potency
138,10.1186_s12936-024-05228-y,Age < 5,Malaria negative,-4.52 (95% C.I) -0.033,Positive,had_lower_malaria_rate
139,10.1186_s12936-024-05228-y,Age 5-14,Malaria negative,-3.49 (95% C.I) -0.71,Positive,had_lower_malaria_rate
140,10.1186_s12936-024-05228-y,Age > 14,Malaria,4.52 (95% C.I) 1.74,Positive,had_higher_malaria_rate
141,10.1186_s12936-024-05238-w,Malaria,Malaria,Table 2 Association between participants’ characteristics and malaria rapid diagnostic test (RDT) results.,Positive,associated_with_malaria
142,10.1186_s12936-024-05238-w,Household head occupation,Malaria,Table 2 Association between participants’ characteristics and malaria rapid diagnostic test (RDT) results.,Unknown,is_associated_with_malaria
143,10.1186_s12936-024-05238-w,Household head education,Malaria,Table 2 Association between participants’ characteristics and malaria rapid diagnostic test (RDT) results.,Unknown,is_associated_with_malaria
144,10.1186_s12936-024-05238-w,Household wealth tertile,Malaria,Table 2 Association between participants’ characteristics and malaria rapid diagnostic test (RDT) results.,Positive,is_associated_with_malaria
145,10.1186_s12936-024-05238-w,Malaria,Anaemia,Malaria is associated with anaemia.,Positive,is_associated_with_anaemia
146,10.1186_s12936-025-05244-6,Malaria,Malaria misclassification,Knowledge of malaria is used for diagnosis.,Negative,misclassifies_malaria
147,10.1186_s12936-025-05244-6,Low knowledge level,High knowledge level,Low and High knowledge levels were classified based on participants' responses.,Both,knowledge_levels
148,10.1186_s12936-025-05289-7,Mother's education level,Wealth index,Multiple imputations by chained equations (MICE) is a powerful and flexible method for handling missing data...,Positive,multiple_imputation_handles_missing_data
149,10.1186_s12936-025-05289-7,Wealth index,Malaria,The aim of this study was to determine the risk factors associated with positive malaria RDT results.,Unknown,is_associated_with
150,10.1186_s12936-025-05313-w,Socioeconomic factors,Malaria negative,Critical role of socioeconomic factors in effective malaria prevention,Positive,socioeconomic_factors_contributes_to_malaria_prevention
152,10.1186_s12940-025-01180-9,Changes in temperature condition,alter breeding sites,Breeding site changes may alter survival and proliferation of sandflies.,Positive,alters_survival_proliferation
153,10.1186_s12940-025-01180-9,Temperature deviation > 1,Visceral Leishmaniasis,Rapid temperature increases significantly promote disease transmission.,Positive,promotes_transmission
154,10.1186_s12940-025-01180-9,Increased precipitation,Visceral Leishmaniasis,Combined effects of increased precipitation and rising temperatures due to climate change may further elevate the risk of VL and expand its endemic areas.,Positive,elevates_risk
155,10.1186_s12940-025-01180-9,Climate change,Visceral Leishmaniasis,The combined effects of increased precipitation and rising temperatures due to climate change may further elevate the risk of VL and expand its endemic areas.,Positive,increases_cases
157,10.1186_s12955-021-01702-2,Age below 25 years,GPH,nan,Negative,lowers_physical_health
158,10.1186_s12955-021-01702-2,Marital status,GMH,nan,Positive,improves_mental_health
159,10.1186_s12955-021-01702-2,Divorced/widowed,GMH,nan,Unknown,affects_mental_health
160,10.1186_s12955-021-01702-2,Unemployment,GPH,Tackling the issue of unemployment and food insecurity improves physical HRQoL.,Negative,impedes_physical_health
161,10.1186_s12955-021-01702-2,Food-insecure,GPH,Tackling the issue of unemployment and food insecurity improves physical HRQoL.,Negative,impedes_physical_health
162,10.1186_s12955-021-01702-2,Food-insecure,GMH,nan,Positive,improves_mental_health
163,10.1186_s12955-021-01702-2,Comorbidities,GPH,nan,Unknown,affects_physical_health
164,10.1186_s12981-022-00498-5,Socio-economic status,Psychological distress,Addressing social and resource inequality...will address social stressors and mitigate psychological distress.,Negative,mitigates_stress
165,10.1186_s12981-022-00498-5,Educational level,Self-efficacy,Educational achievement has a positive effect on outlook in life and increase self-efficacy...,Positive,increases_self_efficacy
166,10.1186_s12981-022-00498-5,Employment,Mental health disorder,"Employment promotes positive emotions due to social security since jobs provide resources that can mitigate stress, support healthy lifestyles and thereby promote mental health.",Positive,mitigates_stress
167,10.1186_s12981-025-00745-5,Disease burden,indicating greater absolute inequality,The bottom panels present the concentration index (negative values indicate the concentration of disease burden in disadvantaged populations) and Lorenz curves that illustrate the distribution of DALYs relative to the population distribution by socioeconomic status,Negative,indicates_greater_absolute_inequality
172,10.1186_s13011-020-00301-6,Male sex,Male sex,Strong and positive,associated with,strongly_associated_with
173,10.1186_s13011-020-00301-6,Low education,Low education,Strong and positive,related to,strongly_related_to
174,10.1186_s13011-020-00301-6,Low income,Low income,Strong and positive,correlated with,correlated_with
175,10.1186_s13011-020-00301-6,Smoking,Smoking,Strong and positive,correlated with,correlated_with
176,10.1186_s13011-020-00301-6,Alcohol,Alcohol,Strong and positive,related to,strongly_related_to
177,10.1186_s13071-020-04157-4,Contact infected water,Fever and diarrhea,Cause of infection,Negative,causes_symptoms
178,10.1186_s13071-020-04551-y,Visceral Leishmaniasis,Visceral Leishmaniasis,"The other eight blocks, all north of the Ganges River, had mean annual incidence between 2 and 7 per 10,000 population during 2009–2011.",Negative,is_relevant_to
179,10.1186_s13071-020-04551-y,Visceral Leishmaniasis,Risk was significantly higher among 10–19 year-olds and adults 35 years or older compared to children younger than 10 years,"In univariable analyses, adult males had",Positive,affects
180,10.1186_s40249-020-00717-z,Temperature and relative humidity,Dengue,Modelling the association of dengue fever cases with temperature and relative humidity.,Positive,associates_with_dengue_fever
181,10.1186_s40249-020-00717-z,El Niño,Vectorborne disease transmission,El Niño and the dynamics of vectorborne disease transmission.,Positive,affects_vectorborne_disease
184,10.1186_s40249-020-00727-x,Study site,Malaria,"The subgroup analysis of study sites demonstrated that a subgroup difference was observed (P= 0.004), and a significantly lower platelet count was found in both the included studies conducted in Sabah (P < 0.00001, MD: − 21 280, 95% CI: − 28 120– 14 440, I2 = 74%) and those studies conducted in Sarawak (P < 0.00001, MD: − 32 550, 95% CI: − 36 220– 28 890, I2 = 0%).",Negative,affects_platelet_count
185,10.1186_s40249-020-00732-0,AIDS,Tuberculosis,AIDS impacted the increase in the number of cases of pulmonary and extrapulmonary TB.,Positive,affects_tb_incidence
186,10.1186_s40249-020-00787-z,Fever,RDT positivity,The presence or absence of fever was reported on the basis of the patients' responses through proper history taking by the VHV.,Positive,has_fever
187,10.1186_s40249-020-00787-z,Traveling to malaria endemic area outside the village,RDT positivity,Traveling to malaria endemic area of outside the village increases the likelihood of having a positive RDT result.,Positive,travels_to_endemic_area
189,10.1186_s40249-022-00949-1,Deprivation quintile,non-MDR-TB,The excess risk of non-MDR-TB increased from 28.1 to 93.5% with increased deprivation from the third to the fifth quintiles of the EDI-PT.,Positive,increases_excess_risk
190,10.1265_ehpm.24-00169,"Sex, female",MDR-TB negative,Female sex was found to be associated with a lower risk of MDR-TB.,Positive,female_sex_lowers_mdr_tb
191,10.1265_ehpm.24-00169,Low income,Tuberculosis,Patients earning less than the regional minimum wage were more likely to develop MDR-TB.,Positive,increases_mdr_tb_risk
192,10.1265_ehpm.24-00169,Marital status,Tuberculosis,Single marital status was found to be associated with a higher risk of MDR-TB.,Positive,increases_mdr_tb_risk
193,10.1265_ehpm.24-00169,Marital status,Tuberculosis,Divorced or widowed marital status was found to be associated with a higher risk of MDR-TB.,Positive,increases_mdr_tb_risk
194,10.1265_ehpm.24-00169,Smoking,MDR-TB negative,Patients who smoked more than 10 pack-years were less likely to develop MDR-TB.,Positive,lowers_mdr_tb_risk
195,10.1265_ehpm.24-00169,Alcohol,Tuberculosis,Alcohol consumption was found to be associated with a higher risk of MDR-TB.,Positive,increases_mdr_tb_risk
196,10.1265_ehpm.24-00169,"Travelling time, >3 hours",Tuberculosis,Patients who traveled more than 3 hours to the hospital were more likely to develop MDR-TB.,Positive,increases_mdr_tb_risk
197,10.1265_ehpm.24-00169,"Role of PMO, supportive",MDR-TB negative,Supportive role of PMO was found to be associated with a lower risk of MDR-TB.,Positive,lowers_mdr_tb_risk
200,10.1371_journal.pmed.1003297,Physical violence ever by client,Depression (PHQ-9),Physical violence ever by a client is associated with depression.,Positive,is_associated_with_depression
201,10.1371_journal.pmed.1003297,Physical violence ever by client,Suicide ideation or attempt ever,Physical violence ever by a client is associated with suicide ideation or attempt.,Positive,is_associated_with_suicide
202,10.1371_journal.pmed.1003369,Holiday,Decreased hospitalization,Holiday was a binary variable (public holiday or not) to adjust for potential impacts of public holidays on hospitalization.,Negative,holidays_impact_hospitalizations
